GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "00000","United States", ,SAGDP3S,1,"...","All industry total","Thousands of dollars",51152000,54540000,57703000,59264000,64126000,72232000,79319000,86636000,95818000,101293000,111991000,121595000,130798000,141260000,152568000,161961000,171577000,190533000,224179000,225917000,241986000,268704000,286781000,298480000,317271000,344963000,371436000,397998000,429594000,453292000,466444000,512727000,523092000,545525000,577804000
 "00000","United States", ,SAGDP3S,2,"..."," Private industries","Thousands of dollars",51337000,54739000,57925000,59506000,64391000,72544000,79706000,87136000,96475000,102215000,112961000,122954000,132490000,143438000,155018000,164873000,175237000,195185000,229292000,232247000,248705000,275452000,294268000,305313000,324034000,352630000,380147000,407336000,440057000,464671000,479030000,526131000,538944000,561574000,591621000
 "00000","United States", ,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",-201000,-575000,-821000,-1459000,-1199000,-1399000,-1594000,-1431000,-862000,-1533000,-258000,1757000,1645000,1957000,1194000,378000,2197000,2249000,2108000,1231000,-3903000,-3561000,-2666000,-5925000,-9530239,-7639786,-4904332,-2868793,-1960657,-2434132,-6250915,-1130433,-399445,-319712,-234393
 "00000","United States", ,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",-248000,-611000,-821000,-1459000,-1210000,-1428000,-1626000,-1479000,-933000,-1604000,-365000,1652000,1515000,1810000,919000,86000,1809000,1809000,1615000,727000,-4434000,-4092000,-3241000,-6541000,-10228239,-8415786,-5802332,-3871793,-3057657,-3650132,-7510915,-2595433,-1923445,-1975712,-1921393
 "00000","United States", ,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",47000,36000,0,0,11000,29000,32000,48000,71000,71000,107000,105000,130000,147000,275000,292000,388000,440000,493000,504000,531000,531000,575000,616000,698000,776000,898000,1003000,1097000,1216000,1260000,1465000,1524000,1656000,1687000
 "00000","United States", ,SAGDP3S,6,"B","   Mining","Thousands of dollars",1171000,1182000,1175000,1220000,1263000,1377000,1478000,1575000,1731000,1857000,1940000,2527000,2659000,2963000,4462000,5015000,6009000,16700000,34821000,27330000,20768000,20020000,17100000,10262000,9166000,9431000,9967000,11247000,11242000,11110000,10741000,11120000,10853000,11792000,12949000
 "00000","United States", ,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",46000,31000,0,0,18000,31000,28000,40000,70000,60000,90000,88000,73000,92000,233000,257000,300000,335000,382000,410000,380000,412000,429000,369000,375000,419000,439000,494000,515000,532000,528000,610000,618000,674000,650000
 "00000","United States", ,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",38000,27000,0,0,11000,32000,33000,43000,61000,36000,88000,91000,111000,148000,370000,549000,747000,839000,904000,1328000,1264000,1396000,1496000,1438000,1486000,1579000,1629000,1727000,1653000,1699000,1590000,1742000,1694000,1794000,1813000
 "00000","United States", ,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",1032000,1065000,1110000,1151000,1158000,1233000,1329000,1399000,1493000,1647000,1636000,2205000,2319000,2534000,3659000,3994000,4720000,15257000,33215000,25269000,18799000,17852000,14784000,8073000,6948000,7071000,7514000,8609000,8641000,8444000,8200000,8302000,8056000,8802000,9935000
 "00000","United States", ,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",55000,59000,65000,69000,76000,81000,88000,93000,107000,114000,126000,143000,156000,189000,200000,215000,242000,269000,320000,323000,325000,360000,391000,382000,357000,362000,385000,417000,433000,435000,423000,466000,485000,522000,551000
