GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "17000","Illinois",3,SAGDP3N,1,"...","All industry total","Thousands of dollars",27479928,27862146,29363612,30740156,31264594,33992109,35357279,37733040,40288118,43497886,45345312,46632112,45436523,45131120,46539802,49377803,51251081,55026185,57944281,58291600,61363548,64270316,66085476,36425327
 "17000","Illinois",3,SAGDP3N,2,"..."," Private industries","Thousands of dollars",28358186,28671553,30186250,31487401,32079135,34924596,36330642,38764542,41337155,44626276,46546990,47908018,46783814,46289522,47833691,50630744,52635115,56446000,59366746,59701307,62738407,65692575,67565233,38753674
 "17000","Illinois",3,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",-161340,-504139,-1218210,-1396824,-1324031,-168282,-332637,-632390,-1188781,-529777,-181857,-152452,-85569,-179638,-106245,-85751,-44909,376542,166217,-480676,-3344,-412635,-1067814,-2016305
 "17000","Illinois",3,SAGDP3N,4,"111-112","   Farms","Thousands of dollars",-170526,-513359,-1227089,-1406416,-1334194,-178433,-343275,-644050,-1201304,-544108,-195969,-169213,-100930,-194222,-122842,-102762,-62166,356050,147262,-500327,-25472,-435646,-1091536,-2012829
 "17000","Illinois",3,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",9186,9220,8879,9592,10163,10151,10638,11660,12523,14331,14112,16761,15361,14584,16596,17011,17258,20492,18955,19651,22128,23011,23722,-3476
 "17000","Illinois",3,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",141237,137189,135553,131264,119569,124078,124354,135324,152100,169176,174922,174728,178157,178723,184783,232937,254930,297625,258389,248809,252157,249027,261917,203596
 "17000","Illinois",3,SAGDP3N,7,"211","   Oil and gas extraction","Thousands of dollars",20152,19129,16988,21790,24448,26240,24229,29359,41346,51997,50613,55647,47172,46561,42927,57624,70079,90618,61550,58470,68557,66541,80031,78541
 "17000","Illinois",3,SAGDP3N,8,"212","   Mining (except oil and gas)","Thousands of dollars",114240,111680,112498,103109,88738,91114,93477,98792,102647,107473,114497,106706,116654,118542,127236,157792,167637,185877,174834,170728,167864,169862,167825,118580
 "17000","Illinois",3,SAGDP3N,9,"213","   Support activities for mining","Thousands of dollars",6844,6379,6067,6364,6383,6724,6648,7172,8107,9705,9812,12376,14331,13620,14620,17521,17214,21130,22005,19611,15736,12624,14061,6475
 "17000","Illinois",3,SAGDP3N,10,"22","  Utilities","Thousands of dollars",1890339,1949193,2242222,2432253,2304104,2362513,2421107,2665880,2786766,3002474,2977159,3058625,3123368,3073107,3215861,3296973,3291064,3259013,3255961,3263346,3331069,3351970,3555398,3534887
 "17000","Illinois",3,SAGDP3N,11,"23","  Construction","Thousands of dollars",168018,182282,204543,222169,227482,257604,272386,295007,302468,303857,281399,270570,270497,255397,254250,250510,259497,272163,281174,291628,310069,305686,329913,-2984520
 "17000","Illinois",3,SAGDP3N,12,"31-33","  Manufacturing","Thousands of dollars",1590721,1623004,1691080,1771201,1908718,2011932,2084199,2233016,2239050,2331902,2475308,2535573,2679503,2679461,2954616,3138009,3496485,3539860,3786135,3667064,3961975,4008199,4169839,667966
 "17000","Illinois",3,SAGDP3N,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",821260,839703,862314,885828,926180,954988,990125,1051561,1055238,1088574,1137061,1159088,1219638,1146397,1202705,1274636,1442045,1424594,1456329,1372388,1409193,1431853,1529384,-899347
 "17000","Illinois",3,SAGDP3N,14,"321","    Wood product manufacturing","Thousands of dollars",13200,13239,13758,14169,12932,13451,13739,13505,13618,14448,14936,15410,15057,13860,14047,13796,14445,14131,16182,15289,16330,16819,18204,-39645
 "17000","Illinois",3,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing","Thousands of dollars",40200,42223,45274,46110,42812,41881,45265,49566,51153,53493,53784,55054,56944,54065,56765,58200,59242,64786,68890,70103,74681,72562,75544,-6269
 "17000","Illinois",3,SAGDP3N,16,"331","    Primary metal manufacturing","Thousands of dollars",127455,131425,130713,129967,105749,100421,106019,117142,112099,116025,122152,128454,136446,134849,141885,145953,146135,147770,150093,145352,151022,157321,173345,46243
 "17000","Illinois",3,SAGDP3N,17,"332","    Fabricated metal product manufacturing","Thousands of dollars",137634,142594,149359,155610,149088,158719,166838,179677,172253,176244,182687,184543,191029,190227,205267,204902,225829,220786,223160,222014,231613,227123,246882,-552653
 "17000","Illinois",3,SAGDP3N,18,"333","    Machinery manufacturing","Thousands of dollars",173835,187665,201537,205497,209688,215609,218642,235305,251897,267636,282123,289954,318249,306632,326882,342198,330212,325621,320809,323306,324614,330293,347274,-224642
 "17000","Illinois",3,SAGDP3N,19,"334","    Computer and electronic product manufacturing","Thousands of dollars",157438,143588,134219,136233,167414,172474,178728,178283,180693,176834,184307,184600,200287,183137,183022,192845,213998,219905,235748,208564,215872,220376,227214,26939
 "17000","Illinois",3,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing","Thousands of dollars",55053,56172,58510,62146,76647,79078,76118,74426,76573,72792,72552,66085,58954,17482,5278,23523,52928,53512,56687,60799,62179,63207,63558,-51924
 "17000","Illinois",3,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",51997,56951,59294,61698,74706,80825,84764,93728,90282,96800,102995,108104,110882,116035,131872,145075,150706,155573,162046,162799,168299,182515,197680,97896
 "17000","Illinois",3,SAGDP3N,22,"3364-3369","    Other transportation equipment manufacturing","Thousands of dollars",12113,12179,12598,13363,12827,12985,13333,14462,14470,14562,16332,15829,15527,14805,16058,17666,17277,18861,20501,20201,21318,24571,24578,-43839
 "17000","Illinois",3,SAGDP3N,23,"337","    Furniture and related product manufacturing","Thousands of dollars",8390,8891,9750,10602,10561,11447,12508,13089,13098,13628,14007,14255,15459,14913,14768,14812,14808,13453,13489,14098,14692,14741,15466,-85122
 "17000","Illinois",3,SAGDP3N,24,"339","    Miscellaneous manufacturing","Thousands of dollars",43943,44776,47300,50432,63758,68099,74172,82379,79102,86112,91186,96800,100804,100393,106861,115666,216465,190196,188725,129862,128573,122326,139638,-66331
 "17000","Illinois",3,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",769462,783301,828766,885373,982537,1056944,1094074,1181455,1183812,1243328,1338247,1376485,1459865,1533064,1751910,1863373,2054440,2115266,2329806,2294676,2552782,2576346,2640456,1567313
