,index,url_title,url,title,numbers,year,yellow,inrange,include,pages
766,767,"https://www.loc.gov/resource/usteledirec.usteledirec00767:<title>Image 1 of Alaska - White Pages and Yellow Pages - Juneau - July 1950 thru June 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00767,"<title>Image 1 of Alaska - White Pages and Yellow Pages - Juneau - July 1950 thru June 1958  | Library of Congress</title>
","['1', '1950', '1958']",1950.0,1,1,1,496
803,804,"https://www.loc.gov/resource/usteledirec.usteledirec00804:<title>Image 1 of Arizona - White Pages and Yellow Pages - Ash Fork - October 1951 thru May 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00804,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Ash Fork - October 1951 thru May 1956  | Library of Congress</title>
","['1', '1951', '1956']",1951.0,1,1,1,49
805,806,"https://www.loc.gov/resource/usteledirec.usteledirec00806:<title>Image 1 of Arizona - White Pages and Yellow Pages - Benson - February 1958 thru March 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00806,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Benson - February 1958 thru March 1961  | Library of Congress</title>
","['1', '1958', '1961']",1958.0,1,1,1,409
828,829,"https://www.loc.gov/resource/usteledirec.usteledirec00829:<title>Image 1 of Arizona - White Pages and Yellow Pages - Duncan thru Elfrida - September 1952 thru September 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00829,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Duncan thru Elfrida - September 1952 thru September 1959  | Library of Congress</title>
","['1', '1952', '1959']",1952.0,1,1,1,76
830,831,"https://www.loc.gov/resource/usteledirec.usteledirec00831:<title>Image 1 of Arizona - White Pages and Yellow Pages - Flagstaff - Summer 1954 thru July 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00831,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Flagstaff - Summer 1954 thru July 1960  | Library of Congress</title>
","['1', '1954', '1960']",1954.0,1,1,1,559
841,842,"https://www.loc.gov/resource/usteledirec.usteledirec00842:<title>Image 1 of Arizona - White Pages and Yellow Pages - Globe - March 1951 thru February 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00842,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Globe - March 1951 thru February 1958  | Library of Congress</title>
","['1', '1951', '1958']",1951.0,1,1,1,519
845,846,"https://www.loc.gov/resource/usteledirec.usteledirec00846:<title>Image 1 of Arizona - White Pages and Yellow Pages - Hayden - June 1959 thru August 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00846,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Hayden - June 1959 thru August 1963  | Library of Congress</title>
","['1', '1959', '1963']",1959.0,1,1,1,275
860,861,"https://www.loc.gov/resource/usteledirec.usteledirec00861:<title>Image 1 of Arizona - White Pages and Yellow Pages - Mammoth - July 1956 thru July 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00861,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Mammoth - July 1956 thru July 1958  | Library of Congress</title>
","['1', '1956', '1958']",1956.0,1,1,1,81
861,862,"https://www.loc.gov/resource/usteledirec.usteledirec00862:<title>Image 1 of Arizona - White Pages and Yellow Pages - Marana thru Mesa - Tempe - Chandler Area - January 1956 thru January 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00862,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Marana thru Mesa - Tempe - Chandler Area - January 1956 thru January 1961  | Library of Congress</title>
","['1', '1956', '1961']",1956.0,1,1,1,635
871,872,"https://www.loc.gov/resource/usteledirec.usteledirec00872:<title>Image 1 of Arizona - Yellow Pages - Metropolitan Phoenix Area - January 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00872,"<title>Image 1 of Arizona - Yellow Pages - Metropolitan Phoenix Area - January 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1,403
901,902,"https://www.loc.gov/resource/usteledirec.usteledirec00902:<title>Image 1 of Arizona - White Pages and Yellow Pages - Nogales - March 1950 thru January 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00902,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Nogales - March 1950 thru January 1960  | Library of Congress</title>
","['1', '1950', '1960']",1950.0,1,1,1,845
