GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "44000","Rhode Island",1,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",554761,566528,582589,585235,588132,594108,602399,605736,611123,617985,608905,588284,586363,591692,592978,602429,613133,627028,633501,639095,648805,651014,602589
 "44000","Rhode Island",1,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",478729,487477,497676,498580,498821,502188,505747,505702,508017,508026,497535,475472,474027,475367,477449,483908,491546,499515,503575,507665,513219,517345,475325
 "44000","Rhode Island",1,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",76032,79051,84913,86655,89311,91920,96652,100034,103106,109959,111370,112812,112336,116325,115529,118521,121587,127513,129926,131430,135586,133669,127264
 "44000","Rhode Island",1,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",649,646,651,770,766,725,702,691,669,938,942,997,1021,1043,1047,1072,987,948,942,885,934,933,933
 "44000","Rhode Island",1,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",75383,78405,84262,85885,88545,91195,95950,99343,102437,109021,110428,111815,111315,115282,114482,117449,120600,126565,128984,130545,134652,132736,126331
 "44000","Rhode Island",1,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",1268,1264,1299,1430,1426,1402,1264,1236,1168,1422,1469,1507,1524,1593,1584,1685,1602,1562,1514,1379,1416,1418,1396
 "44000","Rhode Island",1,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",553493,565264,581290,583805,586706,592706,601135,604500,609955,616563,607436,586777,584839,590099,591394,600744,611531,625466,631987,637716,647389,649596,601193
 "44000","Rhode Island",1,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",478479,490192,504898,506980,509146,514839,524226,528799,534786,541157,532776,513396,511736,517837,519955,529013,539662,553393,558740,564431,573988,574171,527747
 "44000","Rhode Island",1,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",2554,2470,2435,(D),(D),1928,2071,2048,1978,1957,1915,1824,(D),(D),1760,(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",(T),(T),(T),93,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),91,(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",2071,1985,1975,(D),1921,1564,1675,1688,1647,1612,1551,1466,1504,1376,1407,1424,1484,1426,1482,(D),1411,(D),(D)
 "44000","Rhode Island",1,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",(T),(T),329,279,340,(D),(D),(D),(D),(D),(D),(D),(D),(D),262,262,(D),(D),(D),(D),(D),(D),294
 "44000","Rhode Island",1,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",483,496,492,(D),(D),438,401,448,461,492,528,474,(D),(D),631,(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),145,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),176,133,121,108
 "44000","Rhode Island",1,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",(T),262,260,(D),244,230,(D),283,300,329,306,(D),242,(D),(D),334,328,320,334,(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),7,2,10,3,8,18,12,12,15,16,10
 "44000","Rhode Island",1,SAEMP25N,300,"22","   Utilities","Number of jobs",1540,1406,1439,(D),(D),1217,1141,1199,1210,1185,1208,1190,1211,1138,1136,1229,1210,1386,1717,1510,1667,1690,1681
 "44000","Rhode Island",1,SAEMP25N,400,"23","   Construction","Number of jobs",24817,26588,27461,28996,(D),31478,32386,33910,35486,34875,32731,29320,27552,27325,27690,28007,28453,29211,30737,(D),31695,32364,30897
 "44000","Rhode Island",1,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",5613,6124,6343,6733,7151,7034,7533,8090,8155,7758,7358,6370,5902,5744,6036,6197,6275,6930,6900,6955,7337,7368,7144
 "44000","Rhode Island",1,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",1849,1843,1742,2075,(D),2577,2571,2402,2475,2502,2319,2084,2027,1944,2164,2175,2182,2073,2184,(D),2277,2489,2424
 "44000","Rhode Island",1,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",17355,18621,19376,20188,19676,21867,22282,23418,24856,24615,23054,20866,19623,19637,19490,19635,19996,20208,21653,21625,22081,22507,21329
 "44000","Rhode Island",1,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",74044,72610,71771,69709,64402,60313,58584,56734,54476,52842,49821,43884,42304,42411,41696,42273,43148,43540,42868,42751,42635,41878,39437
