GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "00000","United States", ,SAINC7S,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",239451426,258198893,270156000,277777000,296368000,311743000,334294000,359922000,395507000,423437000,465671000,512186000,545441000,579284000,633484000,703743000,767390000,810075000,894943000,988970000,1115885000,1248272000,1366990000,1503905000,1579008000,1668739000,1835609000,1972752000,2093721000,2246552000,2428973000,2572279000,2729857000,2801967000,2956907000,3072485000,3231494000,3413758000,3612299000,3872714000,4177471000,4456769000,4823765000,4950126000
 "00000","United States", ,SAINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",2821786,2898446,2964000,3090000,3170000,3244000,3284000,3380000,3414000,3412000,3537000,3763000,3942000,3912000,4025000,4698000,5473000,5844000,6532000,6870000,7229000,7903000,8218000,8044000,9138000,8809000,8792000,8921000,8336000,8389000,9464000,10000000,11666000,11301000,11061000,11933000,12213000,13079000,13752000,14894000,15883000,16169000,16970000,17919000
 "00000","United States", ,SAINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",236629640,255300447,267192000,274687000,293198000,308499000,331010000,356542000,392093000,420025000,462134000,508423000,541499000,575372000,629459000,699045000,761917000,804231000,888411000,982100000,1108656000,1240369000,1358772000,1495861000,1569870000,1659930000,1826817000,1963831000,2085385000,2238163000,2419509000,2562279000,2718191000,2790666000,2945846000,3060552000,3219281000,3400679000,3598547000,3857820000,4161588000,4440600000,4806795000,4932207000
 "00000","United States", ,SAINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",195149625,211769133,220864000,225102000,239936000,251644000,269633000,290462000,318494000,339084000,371734000,408941000,430403000,453915000,496883000,555177000,606185000,632713000,704266000,784688000,893979000,1009052000,1104660000,1217923000,1271400000,1344577000,1488847000,1600818000,1699506000,1826950000,1979617000,2093640000,2213452000,2257766000,2385996000,2482340000,2619384000,2780639000,2959362000,3194925000,3469473000,3716124000,4036467000,4120428000
 "00000","United States", ,SAINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",542066,542278,564000,623000,688000,738000,815000,911000,989000,1062000,1187000,1341000,1497000,1664000,1824000,2135000,2371000,2545000,2975000,3296000,4331000,5082000,5773000,5741000,6071000,6631000,7526000,8462000,9331000,10275000,11112000,11803000,12751000,13142000,13547000,14266000,15359000,16377000,17737000,19189000,21111000,23620000,25587000,27994000
 "00000","United States", ,SAINC7S,110,"07","    Agricultural services","Thousands of dollars",379028,398101,446000,492000,549000,602000,681000,757000,841000,919000,1042000,1177000,1321000,1479000,1611000,1881000,2105000,2231000,2586000,2915000,3855000,4530000,5181000,5125000,5502000,6053000,6931000,7854000,8663000,9544000,10293000,10942000,11798000,12151000,12540000,13303000,14338000,15301000,16648000,18076000,20011000,22393000,24278000,(NA)
 "00000","United States", ,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",163038,144177,118000,131000,139000,136000,134000,154000,148000,143000,145000,164000,176000,185000,213000,254000,266000,314000,389000,381000,476000,552000,592000,616000,569000,578000,595000,608000,668000,731000,819000,861000,953000,991000,1007000,963000,1021000,1076000,1089000,1113000,1100000,1227000,1309000,(NA)
 "00000","United States", ,SAINC7S,121,"08","     Forestry","Thousands of dollars",40015,30014,33000,34000,36000,37000,37000,38000,38000,40000,42000,50000,54000,57000,62000,67000,76000,90000,102000,118000,142000,178000,215000,242000,237000,237000,266000,275000,281000,293000,325000,357000,394000,403000,436000,460000,503000,549000,601000,625000,645000,719000,802000,(NA)
 "00000","United States", ,SAINC7S,122,"...","     Fishing","Thousands of dollars",123023,114163,85000,97000,103000,99000,97000,116000,110000,103000,103000,114000,122000,128000,151000,187000,190000,224000,287000,263000,334000,374000,377000,374000,332000,341000,329000,333000,387000,438000,494000,504000,559000,588000,571000,503000,518000,527000,488000,488000,455000,508000,507000,(NA)
 "00000","United States", ,SAINC7S,200,"B","   Mining","Thousands of dollars",3906583,3967842,3962000,3876000,3901000,3940000,4100000,4308000,4504000,4634000,4862000,5376000,5816000,6036000,6654000,7325000,8871000,10884000,12243000,14076000,16606000,19818000,24044000,29964000,31401000,27831000,29596000,29420000,25620000,24144000,25147000,25198000,26878000,27241000,26740000,26191000,26559000,26651000,27758000,29921000,30760000,29255000,31197000,33995000
