GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "44000","Rhode Island",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",274193,285507,285186,306988,348013,387608,410325,445829,468630,505552,542537,606108,678145,717456,766275,837919,913299,980381,1048549,1167395,1278012,1427832,1752230,2166497,2441607,2620384,2962995,3100454,3277024,3426913,3838235,4509580,4561112,4380505,4427882,4548409,4647944,4985862,5238064,5557360,5873074,5708061,6204143,6321685,6289254,6674674,6778258,6904144,7478467,8100839,8358855,7564728,7746056,8201347,8674784,8434612,8976865,9399213,9640350,10071168,10387012,10585030,10513873
 "44000","Rhode Island",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",72633,76933,73827,77378,83641,93568,96663,108227,107096,115702,129071,131755,130781,133300,141727,154300,167754,159608,187230,212457,230915,253196,276390,312657,349595,366009,403963,427752,474360,504695,595901,712095,732464,766149,829205,887584,987811,1077185,1289176,1398320,1402657,1339061,1536725,1596337,1877635,2184739,2524661,2353553,2648591,2964559,2895548,2128042,2256677,2497866,2726373,2434644,2799834,2974784,3186482,3416215,3648798,3842096,3789181
 "44000","Rhode Island",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",150431,154023,152449,168528,199598,224247,241758,262610,282971,307640,330989,391208,469499,502898,543806,599202,659342,747734,795405,905738,1002592,1129740,1420398,1783110,2027039,2199125,2504846,2615773,2768188,2890283,3173638,3734121,3745415,3498124,3368619,3297270,3210176,3445586,3446758,3611352,3855475,3732269,4034210,4054385,3752227,3772746,3540042,3880575,4324649,4664255,4677921,4347192,4127481,4107631,4320382,4191473,4307881,4533349,4534769,4693696,4680092,4685496,4564680
 "44000","Rhode Island",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",83434,90879,89908,94609,107165,115490,124581,134122,143859,154618,171190,196594,252345,271635,297499,314600,323857,398288,416484,464095,516501,541513,631255,722971,885548,1094874,1143281,1302038,1408226,1510888,1622692,1789125,1883425,1909884,1965431,2011993,1994973,2127353,2106209,2246026,2236961,2170403,2307333,2317371,2359490,2485888,2525082,2573028,2645267,2744096,2875517,2859648,2858507,2917938,2936864,2874068,2964507,3094368,3018524,2991400,2970530,2907718,2877465
 "44000","Rhode Island",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",66997,63144,62541,73919,92433,108757,117177,128488,139112,153022,159799,194614,217154,231263,246307,284602,335485,349446,378921,441643,486091,588227,789143,1060139,1141491,1104251,1361565,1313735,1359962,1379395,1550946,1944996,1861990,1588240,1403188,1285277,1215203,1318233,1340549,1365326,1618514,1561866,1726877,1737014,1392737,1286858,1014960,1307547,1679382,1920159,1802404,1487544,1268974,1189693,1383518,1317405,1343374,1438981,1516245,1702296,1709562,1777778,1687215
 "44000","Rhode Island",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",51129,54551,58910,61082,64774,69793,71904,74992,78563,82210,82477,83145,77865,81258,80742,84417,86203,73039,65914,49200,44505,44896,55442,70730,64973,55250,54186,56929,34476,31935,68696,63364,83233,116232,230058,363555,449957,463091,502130,547688,614942,636731,633208,670963,659392,717189,713555,670016,505227,472025,785386,1089494,1361898,1595850,1628029,1808495,1869150,1891080,1919099,1961257,2058122,2057438,2160012
 "44000","Rhode Island",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",38932,42344,45513,48612,52246,54337,55119,56620,58968,60919,59863,57061,53310,56375,54308,50952,51550,47784,40333,20545,18834,12955,13135,13218,445,-4286,-16309,-34034,-66977,-74726,-44643,-51205,-40588,-14713,60921,171006,238372,260453,312257,315034,366841,404382,400909,441643,460450,500094,503081,454102,295629,269022,549558,812200,1045439,1257655,1264823,1433278,1469778,1473758,1478902,1549023,1663437,1659749,1747364
 "44000","Rhode Island",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",12197,12207,13397,12470,12528,15456,16785,18372,19595,21291,22614,26084,24555,24883,26434,33465,34653,25255,25581,28655,25671,31941,42307,57512,64528,59536,70495,90963,101453,106661,113339,114569,123821,130945,169137,192549,211585,202638,189873,232654,248101,232349,232299,229320,198942,217095,210474,215914,209598,203003,235828,277294,316459,338195,363206,375217,399372,417322,440197,412234,394685,397689,412648
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
