GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "49000","Utah",7,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",840223,869251,968126,1129735,1199572,1232044,1230047,1360648,1484451,1610305,1666917,1787294,1909838,2046870,2228050,2315116,2436938,2583192,2751307,2903484,3111604,3406875,3791439,4243112,4741413,5282895,5910411,6590527,7463623,8440469,9711665,10972424,12319288,13892687,15066940,16135197,17820360,19069875,20041877,20994591,22330039,23967442,25984871,27864000,30125548,32491283,35156842,38308316,41738865,45125191,48227506,50859248,54450819,56922719,58562908,60872629,64886832,71095264,79116039,86153056,90386888,86761575,89439153,96356694,102990773,106176204,112620169,121339160,127881434,135658763,146326354,157335049,169656348
 "49000","Utah",7,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",56246,51743,57393,88546,109020,113571,96803,114846,133809,143545,148194,169921,184170,201081,213072,225141,206698,216477,241536,262482,312447,375527,379999,395779,466097,525744,599709,600963,768946,893679,1042775,1233244,1354502,1593218,1751197,1704474,1798957,1973598,2083022,2246891,2354494,2500253,2983260,3051662,3291265,3619999,4102254,4595952,5086987,5592832,6032719,6427146,6898414,6909559,6026088,5841615,6125804,7668632,9028086,10148973,9705724,7734472,7823782,9183928,10124527,11259331,12084934,13513973,14654583,15143175,16163074,17101531,17137653
 "49000","Utah",7,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",783977,817508,910733,1041189,1090552,1118473,1133244,1245802,1350642,1466760,1518723,1617373,1725668,1845789,2014978,2089975,2230240,2366715,2509771,2641002,2799157,3031348,3411440,3847333,4275316,4757151,5310702,5989564,6694677,7546790,8668890,9739180,10964786,12299469,13315743,14430723,16021403,17096277,17958855,18747700,19975545,21467189,23001611,24812338,26834283,28871284,31054588,33712364,36651878,39532359,42194787,44432102,47552405,50013160,52536820,55031014,58761028,63426632,70087953,76004083,80681164,79027103,81615371,87172766,92866246,94916873,100535235,107825187,113226851,120515588,130163280,140233518,152518695
 "49000","Utah",7,SAINC50,20,"...","Population (persons) 1/","Number of persons",653000,671000,696000,706000,724000,739000,750000,783000,809000,826000,845000,870000,900000,936000,958000,974000,978000,994000,1009000,1019000,1029000,1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776094,2818261,2860480,2908068,2950652,2999092,3063043,3125784,3180896,3232701,3281684
 "49000","Utah",7,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1287,1295,1391,1600,1657,1667,1640,1738,1835,1950,1973,2054,2122,2187,2326,2377,2492,2599,2727,2849,3024,3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32218,34190,36005,36511,38168,40459,41750,43400,46002,48670,51698
 "49000","Utah",7,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1201,1218,1309,1475,1506,1513,1511,1591,1670,1776,1797,1859,1917,1972,2103,2146,2280,2381,2487,2592,2720,2895,3201,3495,3768,4070,4430,4854,5262,5733,6354,6877,7446,8116,8545,9048,9875,10406,10800,11172,11824,12584,13286,13941,14609,15208,15841,16738,17724,18649,19481,20164,21186,21900,22598,23317,24468,25807,27752,29258,30297,29018,29399,30931,32465,32639,34072,35953,36965,38555,40920,43380,46476
 "49000","Utah",7,SAINC50,60,"...","Personal current taxes","Thousands of dollars",56246,51743,57393,88546,109020,113571,96803,114846,133809,143545,148194,169921,184170,201081,213072,225141,206698,216477,241536,262482,312447,375527,379999,395779,466097,525744,599709,600963,768946,893679,1042775,1233244,1354502,1593218,1751197,1704474,1798957,1973598,2083022,2246891,2354494,2500253,2983260,3051662,3291265,3619999,4102254,4595952,5086987,5592832,6032719,6427146,6898414,6909559,6026088,5841615,6125804,7668632,9028086,10148973,9705724,7734472,7823782,9183928,10124527,11259331,12084934,13513973,14654583,15143175,16163074,17101531,17137653
 "49000","Utah",7,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",50057,44846,49443,78218,98654,103727,86093,102543,119478,127414,130845,147848,159688,175357,184917,194017,173724,176233,187653,206904,248663,298506,307359,310897,362158,407788,480909,458428,589430,694781,804101,945044,1032419,1235390,1391247,1295625,1342985,1476588,1496621,1605624,1665180,1928960,2214461,2290921,2388750,2651539,3007718,3330598,3834228,4289545,4396188,4720340,5094150,5047671,4325442,4132775,4258543,5484161,6512785,7265828,7090109,5243348,5463569,6638838,7356332,8172944,8896203,10004908,10957015,11163780,11576575,12235936,12635389
 "49000","Utah",7,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",50057,44846,49443,78218,98654,103727,86093,102543,119478,127414,130845,147848,159688,175357,184917,194017,173724,176233,187653,206904,248663,298506,307359,310897,362158,407788,480909,458428,589430,694781,804101,945044,1032419,1235390,1391247,1295625,1342985,1476588,1496621,1605624,1665180,1928960,2214461,2290921,2388750,2651539,3007718,3330598,3834228,4289545,4396188,4720340,5094150,5047671,4325442,4132775,4258543,5484161,6512785,7265828,7090109,5243348,5463569,6638838,7356332,8172944,8896203,10004908,10957015,11163780,11576575,12235936,12635389
 "49000","Utah",7,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",55370,51400,54333,83242,105142,112195,95626,112064,130315,139725,144633,162823,176623,194911,207880,219549,201689,199217,214129,241028,290379,345613,369144,382300,436544,520445,609608,647467,741221,867048,995790,1155846,1298088,1513844,1742063,1737413,1720500,1878699,1927389,2037617,2040688,2254384,2534541,2630939,2737368,2977821,3386671,3773013,4322262,4837416,5023462,5557149,5997343,6048295,5536285,5308239,5477608,6723903,7867016,8739699,9251466,7441551,7474098,8484364,9194919,9973413,10710761,11837499,12940275,13300018,13865902,14355066,14748333
