GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",51733004,55979750,60352000,63852000,69411000,74675000,81134000,87906000,93810000,100042000,107536000,119140000,133564000,145252000,157674000,176992000,202399000,221762000,238786000,265688000,300292000,341022000,413614000,507254000,578352000,621342000,702658000,749555000,783196000,804246000,870483000,982219000,1029493000,1038003000,1056248000,1094227000,1160955000,1259091000,1341353000,1429714000,1533632000,1540194000,1670800000,1681411000,1619172000,1676065000,1766487000,1912985000,2159490000,2377297000,2491008000,2197670000,2216539000,2439278000,2683579000,2631622000,2887870000,3079826000,3164918000,3356520000,3544220000,3653558000,3617027000
 "00000","United States", ,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",11599710,12606964,13366000,13901000,15027000,16236000,18194000,20205000,20670000,21510000,23535000,24239000,24307000,25027000,26836000,29880000,33187000,32922000,38971000,44723000,50728000,57437000,63973000,73630000,77562000,83288000,90643000,97390000,106030000,112150000,129743000,157797000,168824000,180170000,189050000,204733000,235215000,257985000,302171000,337921000,355436000,346563000,383501000,369342000,398800000,432138000,561683000,577756000,722775000,815239000,804585000,552965000,543861000,681497000,835075000,793291000,953167000,1033002000,1077392000,1154438000,1253254000,1315912000,1297734000
 "00000","United States", ,SAINC40,92,"..."," Personal interest income","Thousands of dollars",25284894,27755897,30523000,32751000,36337000,39712000,44109000,48363000,53230000,58186000,63905000,74554000,88593000,98396000,108118000,123996000,146032000,166548000,179505000,205099000,233019000,267493000,330662000,409844000,476958000,513618000,587361000,625962000,658898000,675501000,718248000,802899000,832502000,819256000,806626000,799413000,812074000,876223000,896654000,944734000,1012991000,1015134000,1103824000,1109668000,1011924000,1016830000,962022000,1114122000,1255594000,1375799000,1396148000,1297112000,1239007000,1251240000,1314036000,1260901000,1332001000,1437341000,1460878000,1549357000,1609075000,1645548000,1607709000
 "00000","United States", ,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",12152385,13664317,14942000,16276000,17754000,19070000,20938000,22491000,24493000,26965000,29873000,35605000,44124000,49970000,55617000,62184000,72017000,88252000,93675000,104485000,118353000,125337000,147646000,169165000,201560000,245222000,262711000,297543000,324846000,349521000,368169000,394348000,415521000,433911000,453231000,471756000,484316000,521843000,530572000,571697000,580068000,595062000,631641000,631178000,633543000,656991000,669014000,704863000,753988000,803001000,849549000,844748000,837744000,854978000,869741000,864672000,909388000,971684000,965967000,993029000,1032147000,1042911000,1036042000
 "00000","United States", ,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",13132509,14091580,15581000,16475000,18583000,20642000,23171000,25872000,28737000,31221000,34032000,38949000,44469000,48426000,52501000,61812000,74015000,78296000,85830000,100614000,114666000,142156000,183016000,240679000,275398000,268396000,324650000,328419000,334052000,325980000,350079000,408551000,416981000,385345000,353395000,327657000,327758000,354380000,366082000,373037000,432923000,420072000,472183000,478490000,378381000,359839000,293008000,409259000,501606000,572798000,546599000,452364000,401263000,396262000,444295000,396229000,422613000,465657000,494911000,556328000,576928000,602637000,571667000
 "00000","United States", ,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",14848400,15616889,16463000,17200000,18047000,18727000,18831000,19338000,19910000,20346000,20096000,20347000,20664000,21829000,22720000,23116000,23180000,22292000,20310000,15866000,16545000,16092000,18979000,23780000,23832000,24436000,24654000,26203000,18268000,16595000,22492000,21523000,28167000,38577000,60572000,90081000,113666000,124883000,142528000,147059000,165205000,178497000,183475000,202401000,208448000,227097000,242782000,221107000,181121000,186259000,290275000,347593000,433671000,506541000,534468000,577430000,602702000,609483000,626648000,652725000,681891000,692098000,711584000
 "00000","United States", ,SAINC40,96,"...","  Imputed rent","Thousands of dollars",9187592,10113562,10993000,11664000,12462000,12911000,13057000,13389000,13920000,14438000,14101000,14414000,14508000,15482000,15311000,14544000,14851000,13900000,11999000,7048000,7139000,5727000,5632000,5770000,2147000,1261000,-1181000,-4181000,-9460000,-9849000,-3586000,-3339000,-68000,5798000,19744000,42601000,62165000,68533000,82712000,84953000,101291000,115188000,120853000,134779000,146074000,161616000,172667000,143409000,104959000,107857000,188862000,249851000,318926000,375466000,391322000,423655000,436345000,452682000,472900000,499311000,516587000,528585000,554982000
 "00000","United States", ,SAINC40,97,"...","  Monetary rent","Thousands of dollars",5660808,5503327,5470000,5536000,5585000,5816000,5774000,5949000,5990000,5908000,5995000,5933000,6156000,6347000,7409000,8572000,8329000,8392000,8311000,8818000,9406000,10365000,13347000,18010000,21685000,23175000,25835000,30384000,27728000,26444000,26078000,24862000,28235000,32779000,40828000,47480000,51501000,56350000,59816000,62106000,63914000,63309000,62622000,67622000,62374000,65481000,70115000,77698000,76162000,78402000,101413000,97742000,114745000,131075000,143146000,153775000,166357000,156801000,153748000,153414000,165304000,163513000,156602000
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
