GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "37000","North Carolina",5,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",4708195,4802414,4891957,4855476,4841986,4851933,4961634,5093049,5251538,5430998,5413586,5215744,5178363,5292814,5356443,5437125,5568662,5695035,5825370,5918963,6055092,6150375,5908402
 "37000","North Carolina",5,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",3989487,4079016,4131229,4078858,4048064,4024653,4086449,4161322,4275884,4381114,4369182,4156151,4124455,4175842,4241784,4298323,4389493,4494918,4585725,4654507,4734191,4834576,4643484
 "37000","North Carolina",5,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",718708,723398,760728,776618,793922,827280,875185,931727,975654,1049884,1044404,1059593,1053908,1116972,1114659,1138802,1179169,1200117,1239645,1264456,1320901,1315799,1264918
 "37000","North Carolina",5,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",59720,59417,58546,56262,49010,46729,44425,41800,40163,44032,43711,43625,43232,42870,42086,42309,41400,40654,39709,39062,39056,38890,38696
 "37000","North Carolina",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",658988,663981,702182,720356,744912,780551,830760,889927,935491,1005852,1000693,1015968,1010676,1074102,1072573,1096493,1137769,1159463,1199936,1225394,1281845,1276909,1226222
 "37000","North Carolina",5,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",87741,87418,84975,82881,77606,73208,68399,63837,63300,66287,64949,63489,63289,65666,62181,64937,65734,67913,66997,62634,61408,67274,63871
 "37000","North Carolina",5,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",4620454,4714996,4806982,4772595,4764380,4778725,4893235,5029212,5188238,5364711,5348637,5152255,5115074,5227148,5294262,5372188,5502928,5627122,5758373,5856329,5993684,6083101,5844531
 "37000","North Carolina",5,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",3904052,3988441,4067387,4026669,4001287,4003195,4103222,4229920,4383333,4540682,4499658,4292955,4247702,4364217,4432875,4512830,4650758,4775212,4906422,4999702,5136593,5218370,4996382
 "37000","North Carolina",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",25633,24559,23339,22391,23804,21828,22716,23062,23194,23625,23569,23378,23593,24050,24566,25262,26197,25296,25697,25253,26032,25594,24995
 "37000","North Carolina",5,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",7623,7645,7069,6941,6709,6386,6356,6406,6083,6110,6011,5490,5274,5438,6196,6176,6022,6412,6411,5761,5822,5525,5405
 "37000","North Carolina",5,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",5247,4843,4828,4353,4956,3794,4268,4017,3958,3741,3714,3438,3457,3115,3103,3247,3306,2883,3102,2870,3061,3325,3481
 "37000","North Carolina",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",12763,12071,11442,11097,12139,11648,12092,12639,13153,13774,13844,14450,14862,15497,15267,15839,16869,16001,16184,16622,17149,16744,16109
 "37000","North Carolina",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",6627,6531,6305,6461,5716,6060,5740,5821,6294,7070,8050,7346,7833,7074,9309,9190,8548,8689,9087,7806,6745,6121,6025
 "37000","North Carolina",5,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),(D),(D),(D),1692,1840,(D),(D),(D),3129,3899,3077,4164,4738,4577,4811,5006,(D),(D),(D),(D)
 "37000","North Carolina",5,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",4717,4613,4511,4231,3909,3799,3780,3739,3959,4673,4438,3907,3624,3630,4603,3946,3536,3418,3574,3962,3698,3570,3544
 "37000","North Carolina",5,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),268,242,(D),(D),(D),310,310,367,542,506,435,460,507,(D),(D),(D),(D)
 "37000","North Carolina",5,SAEMP25N,300,"22","   Utilities","Number of jobs",17196,17350,15840,(D),14759,14672,14212,13968,14003,13517,13929,13499,13166,12984,13039,13359,14597,15469,16314,15071,15698,15588,15619
 "37000","North Carolina",5,SAEMP25N,400,"23","   Construction","Number of jobs",319471,331288,337856,342435,328039,328617,345896,370194,389851,404257,373272,319446,293409,292114,292805,297424,305791,312455,334140,341129,360969,373663,366537
 "37000","North Carolina",5,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",73648,78396,80430,81253,78885,73266,75265,81774,85454,86562,78734,66310,60703,57795,59825,59931,61763,68007,70720,70843,77569,81298,79092
 "37000","North Carolina",5,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",38163,39193,40914,41090,39090,36960,38480,40737,42392,43527,39773,33852,31371,30802,32657,32711,33388,34080,37949,39962,42308,42813,41248
 "37000","North Carolina",5,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",207660,213699,216512,220092,210064,218391,232151,247683,262005,274168,254765,219284,201335,203517,200323,204782,210640,210368,225471,230324,241092,249552,246197
