GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "24000","Maryland",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1065857,1143575,1222292,1297717,1419807,1549499,1691474,1849413,1970292,2132896,2243538,2464710,2800735,3132879,3413613,3843672,4347832,4654556,5056832,5574272,6318705,7069613,8437063,10176975,12009041,12498263,14232820,15267398,16430776,17345116,19104242,21481832,22752716,23540872,24077772,25313653,26852957,28874330,30433234,32604951,34594528,35043064,38201460,38960809,38359941,39253311,41908387,43623349,49358311,53321725,55687953,50361214,50093389,54115604,56961801,55755460,59580374,62853437,63298628,66872510,69274740,70768806,70042813
 "24000","Maryland",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",212084,230780,247023,257051,280417,316168,361763,407332,407274,424923,430940,447626,453709,471384,509723,574002,644434,634693,753527,867223,982289,1109324,1273439,1500711,1786425,1673799,1817409,1952893,2140676,2256091,2571212,3206001,3414923,3577079,3764391,4057973,4652953,5034950,5880877,6757284,7272136,7401906,8689276,8543283,9307592,9525008,12795843,12410829,15449739,17155440,16839330,11844832,11314202,13228140,14702814,13675094,16135359,17829199,18314991,19893105,21199212,22141337,21782271
 "24000","Maryland",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",607200,650606,698561,743577,821937,899619,991260,1098410,1216307,1344843,1461090,1653551,1993382,2287299,2523636,2895434,3322950,3651698,3977101,4475308,5107570,5756541,6915254,8385903,9969680,10545941,12143753,13038560,14153282,14992746,16289487,18072007,19038053,19449323,19289302,19529210,20015860,21411983,21812748,22966435,23942408,24121751,26001171,26626925,25148643,25294875,24571546,27571384,31172246,33484553,33944584,31895006,30468307,30915065,31737547,30569119,31670465,33004878,32499947,34108207,34819716,35297084,34424479
 "24000","Maryland",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",335139,370044,399638,437451,481165,526095,582094,642242,711443,776838,862329,1022703,1274346,1500616,1666661,1881193,2100344,2375652,2581257,2853663,3280230,3517440,4037111,4578015,5275804,6055916,6610195,7303311,8130777,8945726,9640807,10489681,11167575,11820026,12309490,12901194,13480189,14525939,14841340,15892391,15947337,16059555,17032344,17428607,17838112,18295142,18803335,19686665,21398137,22509081,23627928,23493792,23369677,23929736,24124927,23936793,24705982,25395542,24538579,25087964,25791155,25847467,25467668
 "24000","Maryland",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",272061,280562,298923,306126,340772,373524,409166,456168,504864,568005,598761,630848,719036,786683,856975,1014241,1222606,1276046,1395844,1621645,1827340,2239101,2878143,3807888,4693876,4490025,5533558,5735249,6022505,6047020,6648680,7582326,7870478,7629297,6979812,6628016,6535671,6886044,6971408,7074044,7995071,8062196,8968827,9198318,7310531,6999733,5768211,7884719,9774109,10975472,10316656,8401214,7098630,6985329,7612620,6632326,6964483,7609336,7961368,9020243,9028561,9449617,8956811
 "24000","Maryland",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",246573,262189,276708,297089,317453,333712,338451,343671,346711,363130,351508,363533,353644,374196,380254,374236,380448,368165,326204,231741,228846,203748,248370,290361,252936,278523,271658,275945,136818,96279,243543,203824,299740,514470,1024079,1726470,2184144,2427397,2739609,2881232,3379984,3519407,3511013,3790601,3903706,4433428,4540998,3641136,2736326,2681732,4904039,6621376,8310880,9972399,10521440,11511247,11774550,12019360,12483690,12871198,13255812,13330385,13836063
 "24000","Maryland",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",174934,192567,209264,225911,245103,256993,262581,271549,284373,296689,291600,301999,292470,311382,303972,287248,291182,270934,231516,123397,117974,86223,88798,88063,15757,-8786,-67720,-150398,-299993,-328520,-185690,-207962,-154331,-35607,324466,922154,1341676,1515999,1864722,1922850,2314936,2631422,2699952,2972485,3121442,3642428,3717625,2776940,1867580,1807846,3815214,5445989,6806485,8408247,8814991,9733879,9888390,10102120,10418345,10874574,11297337,11368699,11850699
 "24000","Maryland",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",71639,69622,67444,71178,72350,76719,75870,72122,62338,66441,59908,61534,61174,62814,76282,86988,89266,97231,94688,108344,110872,117525,159572,202298,237179,287309,339378,426343,436811,424799,429233,411786,454071,550077,699613,804316,842468,911398,874887,958382,1065048,887985,811061,818116,782264,791000,823373,864196,868746,873886,1088825,1175387,1504395,1564152,1706449,1777368,1886160,1917240,2065345,1996624,1958475,1961686,1985364
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
