GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "95000","Southeast",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",7560360,8242922,8939181,9648497,10553455,11406452,12334714,13416046,14388146,15595554,17074615,20074735,23440086,26165394,29037082,33295354,38811047,42949592,46882933,52776586,60876813,69795006,85650967,105693655,118616592,128271352,145741587,157808783,167839033,175037057,191736995,220220169,232836443,236439135,240779633,251648891,267727328,291102478,310846892,332116744,358255438,359094574,389078535,395106424,385800767,399935739,427073467,468589090,529079538,587472266,606222766,535778528,551235404,601836426,649408513,629374709,687573478,734232218,754751096,810468181,857675622,888222375,881801637
 "95000","Southeast",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",1401072,1525428,1645769,1755641,1931334,2099926,2408939,2719450,2819236,2967373,3393594,3642721,3838035,4132966,4617238,5312601,6059372,6177069,7339660,8452650,9869119,11416540,12873099,14941781,15356221,17204843,18630935,20756217,22973724,24890486,29448154,35552292,38550942,41589207,44058560,48608891,56626490,62259961,72876677,80939059,86526925,84320541,92605437,90178945,99028033,108354433,139736294,150479938,183890625,205168805,196419146,134756905,131416732,165225203,203605924,191151093,229339084,248439702,262002548,288691495,314618061,332385087,327780447
 "95000","Southeast",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",3802449,4232829,4660601,5094652,5631407,6142444,6756798,7470544,8260606,9196287,10337401,12774798,15803688,18010061,20246727,23836420,28540038,32716006,35858149,41408454,47913081,55326841,69201792,86124424,98634944,106360432,122407650,131781245,140813689,146292941,157226210,179540032,187701047,185927477,183780753,184702696,188794457,204260112,209581949,221904498,238678965,238235883,258031319,260720337,239085833,239259647,230913491,265600591,301715925,331928479,338099994,316505212,315127036,315738936,320497944,304040045,320119226,343339661,345584912,368027449,384064897,392248652,383803262
 "95000","Southeast",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",2166431,2448280,2653301,2934622,3246276,3538940,3873544,4195413,4598118,5105263,5655711,6950856,8853568,10183223,11534037,13154431,15386480,18497161,20096156,22727542,26361795,28364843,33547222,38596333,44873689,53157920,57713446,64741765,71595099,78288185,83251743,90120397,96127440,101399056,106377277,111406131,115241921,124843016,127597405,137763646,140347580,142631371,151948700,151891814,152665233,158716567,163762699,173995295,187511495,200486263,211332877,210373705,209851882,215737410,219067247,216357134,225221115,238336059,238030046,244363390,252388864,253954694,252576032
 "95000","Southeast",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",1636018,1784549,2007300,2160030,2385131,2603504,2883254,3275131,3662488,4091024,4681690,5823942,6950120,7826838,8712690,10681989,13153558,14218845,15761993,18680912,21551286,26961998,35654570,47528091,53761255,53202512,64694204,67039480,69218590,68004756,73974467,89419635,91573607,84528421,77403476,73296565,73552536,79417096,81984544,84140852,98331385,95604512,106082619,108828523,86420600,80543080,67150792,91605296,114204430,131442216,126767117,106131507,105275154,100001526,101430697,87682911,94898111,105003602,107554866,123664059,131676033,138293958,131227230
 "95000","Southeast",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",2356839,2484665,2632811,2798204,2990714,3164082,3168977,3226052,3308304,3431894,3343620,3657216,3798363,4022367,4173117,4146333,4211637,4056517,3685124,2915482,3094613,3051625,3576076,4627450,4625427,4706077,4703002,5271321,4051620,3853630,5062631,5127845,6584454,8922451,12940320,18337304,22306381,24582405,28388266,29273187,33049548,36538150,38441779,44207142,47686901,52321659,56423682,52508561,43472988,50374982,71703626,84516411,104691636,120872287,125304645,134183571,138115168,142452855,147163636,153749237,158992664,163588636,170217928
 "95000","Southeast",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",1439734,1595639,1742834,1885279,2044634,2150424,2204419,2289744,2408836,2525152,2489869,2818537,2899021,3083220,3065695,2910323,2964823,2751889,2373662,1469431,1586122,1368276,1310055,1441353,725064,638147,217653,-203103,-972300,-924957,332888,623938,1525590,2980868,5650948,9883733,13103576,14331392,17315278,17955268,21620352,25016225,27092385,32061110,36295108,40542837,43727107,38702425,29827353,36306239,53578717,67096657,84140112,97741774,100762785,108241051,111030158,115583564,120687293,127120384,131371933,136120822,143272625
 "95000","Southeast",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",917105,889026,889977,912925,946080,1013658,964558,936308,899468,906742,853751,838679,899342,939147,1107422,1236010,1246814,1304628,1311462,1446051,1508491,1683349,2266021,3186097,3900363,4067930,4485349,5474424,5023920,4778587,4729743,4503907,5058864,5941583,7289372,8453571,9202805,10251013,11072988,11317919,11429196,11521925,11349394,12146032,11391793,11778822,12696575,13806136,13645635,14068743,18124909,17419754,20551524,23130513,24541860,25942520,27085010,26869291,26476343,26628853,27620731,27467814,26945303
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
