GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "23000","Maine",1,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1114646,1096395,1124642,1245899,1363456,1373842,1397789,1535856,1625844,1690771,1761298,1840997,1952398,1977369,2054399,2122231,2292678,2474313,2629834,2760699,2940025,3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,31232562,32656992,35107378,37058391,38323541,40247620,42315564,43421280,45599656,47357327,49445354,49402953,50603646,52789038,53782491,53742001,55863585,58331304,59959246,62428715,65121654,67855460,73192795
 "23000","Maine",1,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",75166,65792,67413,96262,126713,123854,106801,111017,138455,145910,143781,147164,173032,174419,187980,183608,182527,195198,211955,235724,282963,346059,342457,318180,369144,453991,499388,484348,581567,625998,732754,861313,998923,1180668,1351184,1313073,1396524,1568931,1778355,2083517,2242368,2418808,2459751,2361065,2376563,2435625,2616787,2727925,3027174,3377985,3828503,4000778,4451169,4562974,4015596,3826201,3938632,4381176,4729450,5044827,5172413,4242447,4360181,4996217,5029464,5417148,5547689,6057330,6424782,6405874,6370820,6910228,7117974
 "23000","Maine",1,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",1039480,1030603,1057229,1149637,1236743,1249988,1290988,1424839,1487389,1544861,1617517,1693833,1779366,1802950,1866419,1938623,2110151,2279115,2417879,2524975,2657062,2889897,3214610,3504503,3818578,4252699,4729869,5167960,5865406,6381610,7007760,7728598,8654561,9470892,10229789,11159880,12390211,13324368,14344849,15407396,17034880,18592534,19410639,19888591,20948266,21659315,22468949,23451347,24625966,25791537,27404059,28656214,30656209,32495417,34307945,36421419,38376932,39040104,40870206,42312500,44272941,45160506,46243465,47792821,48753027,48324853,50315896,52273974,53534464,56022841,58750834,60945232,66074821
 "23000","Maine",1,SAINC50,20,"...","Population (persons) 1/","Number of persons",878000,903000,917000,916000,915000,913000,927000,934000,938000,943000,944000,957000,975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327961,1330029,1330899,1332596,1336530,1335653,1340177,1344851,1350525,1357487,1362280
 "23000","Maine",1,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1270,1214,1226,1360,1490,1505,1508,1644,1733,1793,1866,1924,2002,1987,2067,2137,2309,2482,2632,2750,2958,3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46421,48220,49986,53728
 "23000","Maine",1,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1184,1141,1153,1255,1352,1369,1393,1526,1586,1638,1713,1770,1825,1812,1878,1952,2125,2286,2420,2515,2673,2913,3225,3450,3690,4064,4462,4815,5381,5773,6282,6870,7680,8359,9000,9749,10722,11458,12259,13007,14150,15240,15759,16077,16914,17435,18081,18859,19716,20555,21764,22621,24005,25275,26473,27877,29213,29603,30878,31885,33275,33966,34823,35934,36632,36264,37647,39137,39946,41657,43502,44896,48503
 "23000","Maine",1,SAINC50,60,"...","Personal current taxes","Thousands of dollars",75166,65792,67413,96262,126713,123854,106801,111017,138455,145910,143781,147164,173032,174419,187980,183608,182527,195198,211955,235724,282963,346059,342457,318180,369144,453991,499388,484348,581567,625998,732754,861313,998923,1180668,1351184,1313073,1396524,1568931,1778355,2083517,2242368,2418808,2459751,2361065,2376563,2435625,2616787,2727925,3027174,3377985,3828503,4000778,4451169,4562974,4015596,3826201,3938632,4381176,4729450,5044827,5172413,4242447,4360181,4996217,5029464,5417148,5547689,6057330,6424782,6405874,6370820,6910228,7117974
 "23000","Maine",1,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",69616,59780,60980,89193,119095,115846,98499,102330,129257,136179,133430,133502,158430,159410,173802,170097,169755,182655,200014,225290,269305,322348,296419,271521,316795,394299,430982,409940,492576,510632,586647,703469,801739,944222,1082747,1014568,1060179,1190266,1346656,1550449,1595165,1782721,1754918,1699258,1697324,1759292,1901843,1989773,2222471,2478778,2753519,2897652,3245699,3270748,2801787,2611413,2620978,2919467,3218918,3485671,3465934,2691683,2882823,3423560,3432452,3770426,3927133,4322262,4704492,4671192,4570104,4829102,4821801
 "23000","Maine",1,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",69616,59780,60980,89193,119095,115846,98499,102330,129257,136179,133430,133502,158430,159410,173802,170097,169755,182655,200014,225290,269305,322348,296419,271521,316795,394299,430982,409940,492576,510632,586647,703469,801739,944222,1082747,1014568,1060179,1190266,1346656,1550449,1595165,1782721,1754918,1699258,1697324,1759292,1901843,1989773,2222471,2478778,2753519,2897652,3245699,3270748,2801787,2611413,2620978,2919467,3218918,3485671,3465934,2691683,2882823,3423560,3432452,3770426,3927133,4322262,4704492,4671192,4570104,4829102,4821801
 "23000","Maine",1,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",76636,68771,67460,95345,126466,125961,109151,113114,140075,149273,148056,148759,173505,177733,193338,191780,191633,201839,223088,255412,306169,363210,350345,327931,369937,473883,528770,546882,600129,624900,719078,838851,980755,1139106,1302778,1232159,1305694,1438777,1644662,1878634,1934928,2111055,2111842,2079642,2062438,2081328,2219207,2338910,2585357,2854221,3149649,3396467,3774499,3844041,3497443,3302348,3338416,3608628,3954403,4245007,4500705,3665881,3787586,4241003,4269419,4596103,4725571,5115316,5552905,5558800,5539261,5715870,5705981
