GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "40000","Oklahoma",6,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",569873,623770,683495,715177,748743,772619,832776,893964,945548,990684,1079542,1260974,1453872,1633300,1734596,2008986,2324179,2580593,2827900,3175498,3677701,4223798,5247624,6622768,7834774,8417371,9274579,9853726,9643559,9374822,9694981,10538914,10889259,10862028,11060184,11225620,11844753,12718884,13486090,13978035,15088178,15365604,17259503,17788789,17400050,17890703,19162041,21169945,23891346,26642613,28774512,25529350,26344515,29392198,31981266,31716512,34398145,33567066,32647967,34138122,36315327,37481012,36588524
 "40000","Oklahoma",6,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",72219,83540,90052,95224,97561,100648,116310,132555,135924,135432,163009,174854,181465,192549,211782,247602,287508,292231,361209,430635,485195,547570,607806,701533,831252,786099,780038,878150,912909,938985,1088432,1306264,1443693,1538010,1702709,1820405,2151762,2237811,2635345,2858360,3290571,3424799,4086771,4008092,4333262,4458477,5800139,6303325,8114320,9409195,9583266,7167993,7128334,8547488,10324452,9631000,10471566,10628081,10164903,10580508,11472331,12369129,12202206
 "40000","Oklahoma",6,SAINC40,92,"..."," Personal interest income","Thousands of dollars",259043,293268,331710,357309,384773,405793,458372,502056,554131,602290,673643,814114,984154,1098904,1208857,1415809,1688821,1940772,2129563,2447983,2861062,3339453,4222460,5306834,6297041,6810592,7704597,8177625,8306145,8084706,8229694,8866404,8975454,8790875,8601904,8492885,8604391,9370717,9592880,9822363,10330692,10256891,11178807,11353260,10544757,10563348,10018395,11107247,12499993,13783440,14261120,13832532,13272807,13594396,14302017,13823433,14299084,15133811,15064262,15649176,16125612,16557674,16257938
 "40000","Oklahoma",6,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",153077,169937,185140,204898,224230,233843,256467,274634,297649,335193,361227,429707,541686,613781,679912,767718,891035,1078289,1181772,1334021,1556786,1691448,2007972,2342227,2843600,3444514,3657571,4060071,4307818,4466981,4527891,4671184,4807365,5001202,5184655,5356114,5449967,5868852,5997153,6365362,6451572,6518255,6936067,7067195,7181733,7421793,7553662,7947479,8529865,9114677,9744676,9951113,10024623,10364827,10635736,10641931,11100784,11626086,11412154,11610595,12079456,12354501,12268048
 "40000","Oklahoma",6,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",105966,123331,146570,152411,160543,171950,201905,227422,256482,267097,312416,384407,442468,485123,528945,648091,797786,862483,947791,1113962,1304276,1648005,2214488,2964607,3453441,3366078,4047026,4117554,3998327,3617725,3701803,4195220,4168089,3789673,3417249,3136771,3154424,3501865,3595727,3457001,3879120,3738636,4242740,4286065,3363024,3141555,2464733,3159768,3970128,4668763,4516444,3881419,3248184,3229569,3666281,3181502,3198300,3507725,3652108,4038581,4046156,4203173,3989890
 "40000","Oklahoma",6,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",238611,246962,261733,262644,266409,266178,258094,259353,255493,252962,242890,272006,288253,341847,313957,345575,347850,347590,337128,296880,331444,336775,417358,614401,706481,820680,789944,797951,424505,351131,376855,366246,470112,533143,755571,912330,1088600,1110356,1257865,1297312,1466915,1683914,1993925,2427437,2522031,2868878,3343507,3759373,3277033,3449978,4930126,4528825,5943374,7250314,7354797,8262079,9627495,7805174,7418802,7908438,8717384,8554209,8128380
 "40000","Oklahoma",6,SAINC40,96,"...","  Imputed rent","Thousands of dollars",97839,107023,115610,121607,128941,132735,133498,136270,141141,146045,142040,166312,177881,189682,189529,182056,186031,175044,152893,97414,103540,91409,92168,93556,50170,40176,17097,-8073,-45849,-37879,22150,41484,82317,141557,238547,389746,503345,539382,638939,653321,783874,912395,1012663,1244392,1359286,1431384,1652611,1496504,1134266,1146088,1865075,2451207,3257586,3822948,3991847,4328007,4576877,4558963,4693764,4859660,5057929,5034799,5195751
 "40000","Oklahoma",6,SAINC40,97,"...","  Monetary rent","Thousands of dollars",140772,139939,146123,141037,137468,133443,124596,123083,114352,106917,100850,105694,110372,152165,124428,163519,161819,172546,184235,199466,227904,245366,325190,520845,656311,780504,772847,806024,470354,389010,354705,324762,387795,391586,517024,522584,585255,570974,618926,643991,683041,771519,981262,1183045,1162745,1437494,1690896,2262869,2142767,2303890,3065051,2077618,2685788,3427366,3362950,3934072,5050618,3246211,2725038,3048778,3659455,3519410,2932629
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
