GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "27000","Minnesota",4,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",4161863,3918116,4336143,4800051,5000335,5278331,5442168,5765467,6040216,6411451,6772724,7034680,7471665,7853366,8277686,8779369,9131540,10087617,10933462,11750340,12933975,14388047,15708849,16766023,18229257,21370238,23011795,24891102,26907121,30292726,33988927,37795423,42002053,46547625,49867537,52578359,59667354,63360939,67018188,71480238,75424900,82388061,87513967,90246245,97018541,99989946,107155238,113337451,122210770,129027566,140368599,147680886,160088983,166871882,170418975,178356163,189320918,194876787,204823707,216907171,226467098,216945702,226957064,242593231,257164228,259781775,273487954,286422936,292234917,304470047,319619110,329523912,350784691
 "27000","Minnesota",4,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",345158,291648,332139,449248,551675,560263,515067,564674,626013,666330,681506,726233,799898,835004,913544,939809,886404,1014460,1162635,1288130,1482870,1870529,1850964,1820698,2224585,2366966,2950680,3018895,3422074,3907122,4536778,5369446,5801761,6561521,6762377,6938603,7336946,7783330,8037897,9103610,9465674,10445530,11382909,11302309,12330965,12997086,13963628,15269658,17640422,18926372,20978583,21121642,23818263,23828109,21706659,20779061,21276611,23936023,26032569,28420778,29603932,22824889,24718167,29109586,30655106,34295308,36135447,39603285,40547013,40965626,41504588,43773542,43007056
 "27000","Minnesota",4,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",3816705,3626468,4004004,4350803,4448660,4718068,4927101,5200793,5414203,5745121,6091218,6308447,6671767,7018362,7364142,7839560,8245136,9073157,9770827,10462210,11451105,12517518,13857885,14945325,16004672,19003272,20061115,21872207,23485047,26385604,29452149,32425977,36200292,39986104,43105160,45639756,52330408,55577609,58980291,62376628,65959226,71942531,76131058,78943936,84687576,86992860,93191610,98067793,104570348,110101194,119390016,126559244,136270720,143043773,148712316,157577102,168044307,170940764,178791138,188486393,196863166,194120813,202238897,213483645,226509122,225486467,237352507,246819651,251687904,263504421,278114522,285750370,307777635
 "27000","Minnesota",4,SAINC50,20,"...","Population (persons) 1/","Number of persons",2868000,2935000,2997000,3010000,3030000,3050000,3113000,3172000,3240000,3274000,3313000,3366000,3425000,3470000,3513000,3531000,3558000,3592000,3617000,3659000,3703000,3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5312113,5352572,5388297,5430428,5473353,5509714,5556226,5605384,5650149,5686733,5707165
 "27000","Minnesota",4,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1451,1335,1447,1595,1650,1731,1748,1818,1864,1958,2044,2090,2182,2263,2356,2486,2566,2808,3023,3211,3493,3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9360,10282,11321,12070,12696,14351,15143,15937,16878,17556,18992,19935,20322,21581,21947,23242,24320,25932,27087,29162,30303,32448,33490,33955,35293,37211,38065,39667,41655,43161,41079,42724,45323,47726,47838,49967,51985,52596,54317,56568,57946,61464
 "27000","Minnesota",4,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1331,1236,1336,1445,1468,1547,1583,1640,1671,1755,1839,1874,1948,2023,2096,2220,2317,2526,2701,2859,3092,3331,3632,3880,4139,4891,5146,5571,5936,6630,7354,8030,8862,9725,10433,11020,12586,13282,14026,14728,15353,16584,17342,17777,18838,19094,20214,21044,22188,23114,24804,25969,27620,28708,29630,31181,33029,33389,34626,36197,37519,36757,38071,39884,42037,41523,43365,44797,45298,47009,49223,50249,53928
 "27000","Minnesota",4,SAINC50,60,"...","Personal current taxes","Thousands of dollars",345158,291648,332139,449248,551675,560263,515067,564674,626013,666330,681506,726233,799898,835004,913544,939809,886404,1014460,1162635,1288130,1482870,1870529,1850964,1820698,2224585,2366966,2950680,3018895,3422074,3907122,4536778,5369446,5801761,6561521,6762377,6938603,7336946,7783330,8037897,9103610,9465674,10445530,11382909,11302309,12330965,12997086,13963628,15269658,17640422,18926372,20978583,21121642,23818263,23828109,21706659,20779061,21276611,23936023,26032569,28420778,29603932,22824889,24718167,29109586,30655106,34295308,36135447,39603285,40547013,40965626,41504588,43773542,43007056
 "27000","Minnesota",4,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",308238,244692,278495,386494,485646,491656,441592,483951,537226,568314,577851,607485,668986,688399,718863,767970,699770,771288,888376,994007,1160755,1486690,1432979,1332764,1591799,1670182,2070225,2052953,2405322,2746754,3226647,3892061,4367277,4890836,4893597,4572335,4728345,5300089,5753891,6406314,6588479,7560596,7927164,8020835,8627162,9104183,9857596,10756312,12603919,13563844,15339662,16283962,18119934,18224167,15649666,14759448,14933006,16789733,18540586,20423881,21074207,15464474,17207885,20681084,21639722,23906838,25429822,27995505,28742115,28673858,28656792,30281858,29422659
 "27000","Minnesota",4,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",308238,244692,278495,386494,485646,491656,441592,483951,537226,568314,577851,607485,668986,688399,718863,767970,699770,771288,888376,994007,1160755,1486690,1432979,1332764,1591799,1670182,2070225,2052953,2405322,2746754,3226647,3892061,4367277,4890836,4893597,4572335,4728345,5300089,5753891,6406314,6588479,7560596,7927164,8020835,8627162,9104183,9857596,10756312,12603919,13563844,15339662,16283962,18119934,18224167,15649666,14759448,14933006,16789733,18540586,20423881,21074207,15464474,17207885,20681084,21639722,23906838,25429822,27995505,28742115,28673858,28656792,30281858,29422659
 "27000","Minnesota",4,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",339738,285248,305909,415021,518230,533669,487206,532705,588771,623869,639504,673952,737388,765865,802193,856478,795339,848842,981723,1120565,1314179,1652029,1660465,1581079,1829650,2035663,2460453,2645025,2864055,3246693,3737640,4450602,5084075,5598739,5742836,5567241,5783005,6402289,6780062,7289013,7499794,8400286,8914457,9031789,9649485,10043517,10856970,11913948,13820281,14886417,16755635,18114310,20088001,20418508,18450965,17481408,17829126,19511316,21528138,23583557,25406929,19744217,21083566,24166069,25140824,27329635,28837290,31465800,32502515,32674617,32839360,34078743,33208462
