GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "29000","Missouri",4,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",3385244,3422953,3470846,3451902,3437494,3444535,3478558,3533315,3586453,3636220,3625612,3522652,3475301,3506571,3528129,3565922,3596751,3655804,3700557,3735460,3776709,3779878,3626303
 "29000","Missouri",4,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",2781777,2823700,2854724,2831268,2810287,2801078,2811762,2839426,2877047,2893386,2890129,2779356,2739181,2744993,2776672,2808712,2834938,2887001,2925035,2950737,2971522,2999000,2856984
 "29000","Missouri",4,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",603467,599253,616122,620634,627207,643457,666796,693889,709406,742834,735483,743296,736120,761578,751457,757210,761813,768803,775522,784723,805187,780878,769319
 "29000","Missouri",4,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",114700,114136,113104,111581,105730,101400,98668,97237,94909,96466,95448,94323,93508,92374,90260,90833,88950,88364,88012,87225,86951,87136,86900
 "29000","Missouri",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",488767,485117,503018,509053,521477,542057,568128,596652,614497,646368,640035,648973,642612,669204,661197,666377,672863,680439,687510,697498,718236,693742,682419
 "29000","Missouri",4,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",127172,124303,124097,122590,116521,111174,106865,106656,103920,104187,104343,102576,102337,101211,99353,99499,96081,98335,98263,94468,94323,95885,96006
 "29000","Missouri",4,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",3258072,3298650,3346749,3329312,3320973,3333361,3371693,3426659,3482533,3532033,3521269,3420076,3372964,3405360,3428776,3466423,3500670,3557469,3602294,3640992,3682386,3683993,3530297
 "29000","Missouri",4,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",2811701,2841343,2877014,2859017,2848255,2858048,2896399,2951012,3002837,3046091,3027299,2920599,2881842,2924212,2952355,2990566,3027657,3086502,3131610,3168905,3210318,3210148,3069553
 "29000","Missouri",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",11896,11445,10753,10588,11838,10784,11289,11563,11283,11513,11845,11844,12156,12513,13069,13146,13682,13010,13328,13601,14240,13947,13743
 "29000","Missouri",4,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",2270,2395,1981,(D),1954,1757,1890,2227,2113,2119,2129,1857,1633,1837,2264,2293,2175,2408,2432,2091,2124,2077,2016
