GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "00000","United States", ,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",50356000,46110000,39053000,30413000,28935000,33639000,36614000,41832000,46017000,42886000,45848000,49694000,61757000,80991000,102686000,110909000,110553000,109748000,121545000,134098000,133285000,146518324,170163335,183966933,197343886,195820122,210663445,227721336,238572373
 "00000","United States", ,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",1300000,1177000,914000,669000,617000,679000,775000,868000,988000,979000,988000,1029000,1249000,1631000,2027000,2202000,2299000,2532000,2783000,2990000,2806000,2869443,2973056,2909302,2785066,2640844,2616207,2623444,2713715
 "00000","United States", ,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",49056000,44933000,38139000,29744000,28318000,32960000,35839000,40964000,45029000,41907000,44860000,48665000,60508000,79360000,100659000,108707000,108254000,107216000,118762000,131108000,130479000,143648881,167190279,181057631,194558820,193179278,208047238,225097892,235858658
 "00000","United States", ,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",44199000,39858000,32959000,24853000,23247000,26958000,29420000,33191000,37627000,33776000,36756000,40367000,50646000,64491000,77172000,81642000,80367000,88830000,102749000,113453000,111043000,122103400,139935925,149914069,162441031,160320519,173569647,188308147,196946780
 "00000","United States", ,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",115000,110000,104000,84000,75000,73000,86000,83000,112000,101000,104000,106000,121000,158000,174000,202000,215000,251000,280000,314000,321000,360000,407125,442769,458831,485219,478247,507247,511980
 "00000","United States", ,SAINC7H,200,"B","   Mining","Thousands of dollars",1515000,1327000,993000,683000,686000,911000,969000,1133000,1305000,1101000,1137000,1287000,1540000,1769000,1988000,2192000,2173000,2367000,2904000,3373000,2966000,3213200,3654600,3727200,3824800,3503900,3775500,4221500,4370700
 "00000","United States", ,SAINC7H,300,"C","   Construction","Thousands of dollars",2484000,2085000,1477000,823000,611000,759000,889000,1300000,1383000,1259000,1546000,1709000,2900000,4670000,3930000,2881000,2952000,4411000,5834000,7122000,6957000,8065100,10063300,10940700,11475800,11641600,12492700,13949500,14273300
 "00000","United States", ,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",16092000,13850000,10810000,7678000,7827000,9643000,10829000,12410000,14571000,11837000,13585000,15584000,21714000,30922000,40995000,42812000,38235000,36463000,42467000,47159000,44619000,50398700,59451400,64246400,71339200,67655700,73976100,79581600,82610700
 "00000","United States", ,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",6239000,5780000,4939000,3847000,3514000,3799000,4077000,4531000,4987000,4622000,4898000,5182000,5936000,7039000,8258000,9711000,10110000,11429000,12351000,13556000,13426000,14112300,16008300,17076100,18072900,17748700,18831600,20355800,21338300
 "00000","United States", ,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",9319000,8711000,7584000,5911000,5290000,6119000,6631000,7234000,8175000,8009000,8386000,9020000,10384000,10971000,11925000,12940000,14667000,19553000,22857000,23992000,24214000,25941600,28522900,30059000,32012400,32728000,34927500,37810800,39640800
 "00000","United States", ,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",2918000,2742000,2467000,2092000,1896000,1988000,2058000,2236000,2406000,2323000,2379000,2453000,2598000,2713000,2843000,2981000,3270000,4096000,4498000,5055000,5270000,5852200,6409100,6921900,7544300,8177300,8890600,9685900,10309400
 "00000","United States", ,SAINC7H,800,"I","   Services","Thousands of dollars",5517000,5253000,4585000,3735000,3348000,3666000,3881000,4264000,4688000,4524000,4721000,5026000,5453000,6249000,7059000,7923000,8745000,10260000,11558000,12882000,13270000,14160300,15419200,16500000,17712800,18380100,20197400,22195800,23891600
