GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "93000","Great Lakes",3,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",20057.6,17176.9,14355.4,10479.1,9677.7,11559.0,13400.0,15431.0,17159.7,15071.3,16478.2,17843.6,22162.6,27414.4,33230.5,35182.4,35933.9,38799.9,42792.6,47750.9,45996.4,51213.1,58155.3,61664.8,67239.7,66584.9,72014.0,77180.9,80391.3,80303.9,85593.8,88933.5,91138.5,96685.2,101230.5,108769.5,118705.6,129095.6,135847.3,148258.0,162016.5,170705.3,183694.7,200707.9,224429.1,243765.6,263253.1,289628.3,321433.8,356577.6,392787.6,425780.6,464803.9,486801.3,512202.9,565477.9,600323.9,632500.1,664885.9,712815.8,767369.6,810354.1,830740.6,890729.1,930987.7,987885.5,1041548.9,1099478.7,1161498.6,1234434.6,1285398.2,1370277.4,1411718.2,1427690.6,1464134.4,1522011.0,1573033.8,1654969.8,1728248.1,1783643.6,1716691.1,1776452.2,1879160.0,1960700.3,1991993.7,2079147.1,2171984.3,2213769.8,2286479.0,2389121.5,2465917.5,2625186.9,2801365.2
 "93000","Great Lakes",3,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",18867.5,16319.6,13545.2,10046.3,9223.7,11013.2,12229.4,14529.3,15751.5,14135.0,15547.9,16980.2,20782.7,25364.3,30893.0,33017.5,33392.3,35867.0,39972.6,43919.7,43525.4,48696.3,55053.6,58754.2,64662.6,63997.8,70008.0,74967.3,78314.6,77884.0,83685.5,86926.2,88700.1,94341.5,98876.3,106735.1,116084.6,126136.4,133325.9,145841.3,159161.5,168202.7,180812.8,197558.4,219239.9,239133.4,257472.9,284860.9,316668.4,352125.5,387621.7,422518.0,461176.1,483929.9,512378.4,561133.8,595425.0,628073.1,659943.4,709528.3,760429.6,804460.1,827252.4,884738.7,925923.9,981944.4,1038339.8,1092676.4,1155040.0,1228993.5,1280993.9,1365035.1,1406220.3,1424101.3,1458126.9,1512043.1,1566370.3,1648631.6,1719248.4,1772554.1,1709362.8,1767613.5,1862645.6,1949216.8,1970545.0,2066269.6,2166114.6,2206412.4,2279108.9,2380715.8,2459311.1,2608726.4,2774923.0
 "93000","Great Lakes",3,SAINC4,12,"..."," Farm income 2/","Millions of dollars",1190.1,857.2,810.2,432.8,454.0,545.8,1170.6,901.7,1408.2,936.3,930.3,863.3,1380.0,2050.1,2337.5,2164.8,2541.7,2932.9,2820.0,3831.2,2470.9,2516.8,3101.7,2910.6,2577.1,2587.1,2005.9,2213.6,2076.8,2420.0,1908.3,2007.3,2438.3,2343.7,2354.2,2034.4,2621.0,2959.1,2521.4,2416.8,2855.0,2502.7,2881.9,3149.6,5189.3,4632.2,5780.1,4767.4,4765.4,4452.1,5165.9,3262.6,3627.8,2871.3,-175.5,4344.1,4899.0,4426.9,4942.5,3287.5,6940.0,5894.0,3488.2,5990.4,5063.8,5941.0,3209.0,6802.4,6458.6,5441.2,4404.3,5242.2,5497.9,3589.3,6007.5,9967.9,6663.5,6338.2,8999.7,11089.5,7328.4,8838.7,16514.4,11483.4,21448.7,12877.4,5869.7,7357.4,7370.1,8405.7,6606.4,16460.5,26442.3
 "93000","Great Lakes",3,SAINC4,20,"...","Population (persons) 3/","Number of persons",25187000,25332000,25426000,25535000,25632000,25694000,25824000,25960000,26096000,26243000,26456000,26725000,27042000,27158000,26478000,26511000,26379000,28425000,29153000,29832000,30324000,30530000,30883000,31498000,32166000,33063000,33779000,34404000,34967000,35578000,35928000,36290000,36616000,36927000,37357000,37868000,38405000,38951000,39347000,39645000,39904000,40319722,40622322,40824274,40946800,41036791,41105385,41186726,41353165,41510152,41610978,41693671,41647869,41492474,41366046,41393218,41417995,41455030,41589687,41720866,41872543,42091157,42495903,42902625,43274741,43589980,43923694,44239468,44493603,44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46450820,46580609,46702192,46858230,46981634,47048673,47136309,47234338,47306617,47358868,47321463,47204190
 "93000","Great Lakes",3,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",796,678,565,410,378,450,519,594,658,574,623,668,820,1009,1255,1327,1362,1365,1468,1601,1517,1677,1883,1958,2090,2014,2132,2243,2299,2257,2382,2451,2489,2618,2710,2872,3091,3314,3453,3740,4060,4234,4522,4916,5481,5940,6404,7032,7773,8590,9440,10212,11160,11732,12382,13661,14494,15257,15987,17085,18326,19252,19549,20762,21513,22663,23713,24853,26105,27599,28584,30305,31094,31343,32032,33200,34234,35922,37418,38544,37033,38244,40342,41983,42511,44254,46165,46965,48407,50503,52069,55476,59346
 "93000","Great Lakes",3,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",15760.2,13367.0,10965.1,7986.8,7633.2,9410.4,11034.7,12495.3,14617.7,12770.7,13851.4,15068.6,19108.5,24149.3,29981.6,31795.6,31878.2,33587.0,37045.9,41735.4,39799.7,43961.1,51257.9,54444.4,59102.2,57856.1,62679.7,67023.8,69412.1,67859.9,73041.3,75756.7,76360.9,81258.7,85192.6,91594.1,99991.6,110426.1,115191.8,125518.9,137737.2,142141.0,151576.9,166367.4,187270.5,199944.0,209215.4,233052.0,261170.8,291861.4,320190.6,330931.0,353205.4,356860.7,373925.6,418232.0,447918.4,475008.4,505374.9,546714.4,583202.3,614233.8,628701.9,677078.3,709437.9,755063.3,790288.7,831262.8,879059.1,938584.0,993297.7,1054963.9,1083764.7,1101282.6,1127679.1,1174303.6,1201631.7,1249018.9,1284553.8,1295157.1,1228215.0,1266858.5,1333999.8,1389953.8,1439273.4,1484820.9,1539225.1,1568748.1,1623838.6,1692486.2,1742401.3,1753361.0,1895247.1
 "93000","Great Lakes",3,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",13.6,13.3,12.6,12.7,11.6,15.2,19.1,66.9,392.6,426.8,438.8,473.8,610.0,658.9,782.5,896.6,960.4,1079.5,1026.8,994.0,1059.2,1214.1,1493.4,1591.3,1649.9,1871.6,2115.7,2366.9,2707.6,2492.3,3046.0,3656.6,3618.0,4043.7,4562.4,4762.8,4946.9,6742.4,7274.0,7989.3,9311.4,9503.2,10424.2,12095.4,15630.5,17399.8,17668.7,20242.0,22758.3,26286.3,29932.2,30927.7,35438.7,36376.9,38845.0,44260.0,48192.4,51647.0,54318.0,60614.4,64605.5,68950.5,72225.0,76663.0,81158.2,87641.6,92241.9,95305.5,99864.0,104853.9,110196.3,114558.8,116267.2,117883.0,121240.4,127570.2,132744.2,138350.4,142423.3,145147.2,138919.5,140959.9,132003.6,137137.1,157359.9,162452.3,168304.3,172690.2,180051.3,187049.3,193915.9,197578.0,213467.3
 "93000","Great Lakes",3,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",11.9,11.9,11.5,11.1,10.8,11.4,11.1,12.2,96.7,84.5,93.2,104.2,133.7,168.8,237.6,297.3,306.6,295.4,336.2,359.0,353.4,492.8,600.2,654.4,672.5,822.8,934.0,1033.3,1184.5,1092.1,1300.1,1549.9,1542.4,1658.8,1918.5,2006.6,2135.2,3078.5,3513.6,3917.6,4485.0,4603.2,5036.4,5696.1,7320.9,8193.5,8382.8,9320.8,10356.5,11804.7,13608.4,14319.8,16606.4,17147.4,18009.3,20069.0,22522.1,24312.3,25870.5,29032.0,31526.1,33604.1,35384.0,37359.2,39531.7,42831.4,45362.8,47118.7,49799.5,52539.5,55482.1,57922.8,58987.2,60374.4,61589.3,64250.1,66901.0,70406.3,73138.8,74947.7,71993.5,72994.2,60103.3,62005.6,81684.8,85212.3,88617.5,91422.2,95705.3,100844.5,105022.5,107691.7,115773.3
 "93000","Great Lakes",3,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",1.7,1.5,1.0,1.7,0.8,3.8,8.0,54.7,295.9,342.4,345.6,369.6,476.3,490.1,544.9,599.4,653.8,784.1,690.6,634.9,705.8,721.3,893.2,937.0,977.4,1048.8,1181.7,1333.6,1523.1,1400.2,1745.9,2106.8,2075.5,2384.9,2644.0,2756.2,2811.7,3663.9,3760.5,4071.7,4826.4,4900.0,5387.8,6399.3,8309.7,9206.3,9285.9,10921.2,12401.8,14481.6,16323.8,16607.9,18832.3,19229.5,20835.7,24191.0,25670.3,27334.7,28447.5,31582.4,33079.4,35346.3,36840.9,39303.9,41626.5,44810.2,46879.1,48186.8,50064.5,52314.4,54714.2,56636.0,57280.0,57508.6,59651.1,63320.1,65843.2,67944.1,69284.5,70199.5,66926.0,67965.7,71900.4,75131.5,75675.0,77240.0,79686.8,81268.0,84346.1,86204.7,88893.3,89886.2,97693.9
 "93000","Great Lakes",3,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-26.0,-28.3,-26.4,-30.5,-26.7,-27.7,-21.4,-16.8,-4.7,10.5,-112.2,-125.9,-123.3,-111.4,-115.9,-113.9,-121.7,-133.0,-145.7,-134.2,-143.6,262.4,245.8,319.2,366.3,417.4,511.9,587.5,718.7,898.9,1104.8,1269.4,1531.8,1340.4,1214.5,1209.2,1335.0,1397.2,1471.5,1528.2,1647.2,1665.3,1923.1,1908.3,2021.1,2093.5,2270.6,2430.5,2677.2,2980.9,3019.8,3448.8,3791.8,4089.4,4145.2,4422.6,4926.8,5346.8,5657.2,5774.4,6359.8,5478.6,5351.7,5314.4,5636.3,5410.4,5841.8,6351.4,6497.7,6899.5,8023.1,8319.8,7549.7,8086.5
