GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "92000","Mideast",2,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",27429.4,25575.4,22230.5,17396.5,16080.9,17869.6,19258.9,21931.8,23010.1,21457.8,22690.8,24311.2,28358.3,33922.3,40005.1,43042.6,44540.3,48153.8,51195.5,54410.9,54475.9,59574.7,65582.1,69427.0,74018.0,74913.0,79614.8,85489.6,90531.9,92394.0,97797.0,102030.3,106262.0,112437.1,117653.9,126000.2,134825.4,145316.6,156523.9,171746.9,184917.2,199975.2,214651.5,232153.1,251006.8,272561.5,295272.3,317631.9,345171.0,378978.0,416696.2,462774.8,514658.4,555921.4,594414.2,653789.7,699171.3,744958.5,795875.7,870726.5,940366.6,998459.3,1017674.0,1077694.6,1113458.8,1152220.3,1211698.0,1275883.0,1347506.0,1430852.8,1507596.1,1630935.0,1696754.4,1715338.1,1759198.1,1850195.4,1926908.3,2056530.9,2190497.8,2254167.0,2207522.5,2297100.4,2417297.1,2519931.4,2544627.4,2652752.3,2769073.0,2857259.7,2989806.2,3109861.7,3208874.0,3402857.8,3590523.2
 "92000","Mideast",2,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",26890.4,25105.7,21818.4,17133.6,15783.2,17552.1,18814.7,21509.3,22504.0,21039.8,22299.9,23905.8,27840.7,33165.4,39100.4,42096.6,43550.5,46975.4,50118.0,53210.8,53519.0,58639.6,64470.3,68362.9,73021.7,74051.3,78846.6,84644.6,89789.6,91406.3,97012.2,101135.0,105362.2,111710.3,116862.6,125205.4,133937.0,144409.0,155562.3,170837.2,183825.8,198925.7,213696.9,231203.9,249641.8,271295.2,294097.5,316382.6,344104.7,377698.5,415207.5,461666.9,513192.4,554497.1,593359.9,651928.3,697198.8,742799.3,793637.0,868590.9,937849.4,996015.8,1015702.3,1075130.6,1111033.5,1150012.8,1210039.6,1273282.3,1345758.8,1428638.9,1505373.3,1628263.4,1694027.6,1713503.2,1756414.3,1846649.1,1923571.5,2053683.6,2187123.8,2250470.4,2204706.7,2293425.2,2412753.2,2514883.8,2538689.0,2646658.9,2764936.5,2854373.6,2985421.3,3106985.9,3204414.0,3397505.0,3585235.5
 "92000","Mideast",2,SAINC4,12,"..."," Farm income 2/","Millions of dollars",539.1,469.7,412.1,263.0,297.7,317.5,444.2,422.5,506.1,418.0,391.0,405.4,517.6,756.9,904.7,946.0,989.8,1178.5,1077.5,1200.1,956.9,935.2,1111.8,1064.1,996.3,861.7,768.2,845.1,742.3,987.6,784.8,895.3,899.8,726.8,791.3,794.8,888.4,907.6,961.6,909.8,1091.3,1049.6,954.6,949.2,1365.0,1266.3,1174.9,1249.4,1066.3,1279.5,1488.7,1107.9,1466.0,1424.3,1054.3,1861.5,1972.4,2159.2,2238.7,2135.6,2517.2,2443.4,1971.8,2564.0,2425.3,2207.5,1658.4,2600.7,1747.3,2213.9,2222.8,2671.6,2726.8,1834.8,2783.8,3546.3,3336.8,2847.3,3374.0,3696.7,2815.8,3675.2,4543.8,5047.7,5938.5,6093.4,4136.5,2886.1,4384.9,2875.8,4460.0,5352.8,5287.7
 "92000","Mideast",2,SAINC4,20,"...","Population (persons) 3/","Number of persons",28223000,28727000,29078000,29321000,29488000,29665000,29823000,29959000,30013000,30225000,30267000,30325000,30400000,30177000,29767000,29405000,29131000,31239000,32257000,32981000,33623000,33726000,33937000,34466000,35146000,35835000,36323000,36677000,37127000,37721000,38202000,38597000,39133000,39552000,40083000,40555000,41025000,41360000,41617000,41924000,42111000,42516918,42869509,42991563,42836999,42709177,42727721,42667403,42546619,42421484,42358101,42272235,42328543,42382098,42543638,42686518,42793973,42991120,43189888,43435353,43584907,43761704,44070941,44392469,44717161,44969670,45186033,45383860,45579719,45822025,46105834,46386027,46619373,46841190,47034773,47162342,47239239,47334435,47473718,47684886,47943872,48241659,48630886,48968003,49256449,49515008,49723638,49895423,50066003,50217876,50304910,50278959,49905662
 "92000","Mideast",2,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",972,890,765,593,545,602,646,732,767,710,750,802,933,1124,1344,1464,1529,1541,1587,1650,1620,1766,1932,2014,2106,2090,2192,2331,2438,2449,2560,2643,2715,2843,2935,3107,3286,3513,3761,4097,4391,4703,5007,5400,5860,6382,6911,7444,8113,8934,9837,10947,12159,13117,13972,15316,16338,17328,18427,20046,21576,22816,23092,24277,24900,25622,26816,28113,29564,31226,32699,35160,36396,36620,37402,39230,40790,43447,46141,47272,46044,47617,49707,51461,51661,53575,55689,57265,59717,61927,63788,67680,71946
 "92000","Mideast",2,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",19615.0,18147.3,15384.3,11670.9,10982.3,12708.7,13961.3,16070.5,17606.4,16508.9,17522.1,19163.5,23221.8,29027.1,35218.0,37946.1,38590.9,40864.4,43309.4,46913.9,46444.2,50111.4,57058.0,60357.8,64204.0,64093.1,68122.3,73202.3,77243.3,77761.2,82654.6,86494.7,89326.2,94345.4,98160.0,104592.1,111439.1,121642.1,130040.3,141858.8,154185.7,164374.3,174463.6,189031.8,205293.3,219783.4,231883.6,250358.5,272945.6,302411.7,333104.9,361438.4,394082.9,416627.7,446202.2,492033.3,530551.7,569897.5,618737.1,681297.7,722304.6,764144.5,769202.1,819249.9,845466.9,873806.8,910402.7,955453.8,1014441.8,1082089.7,1156887.5,1251910.5,1309382.6,1330992.1,1363875.5,1437825.4,1491732.0,1572338.3,1656441.1,1682483.9,1646575.4,1718343.3,1786573.5,1855592.0,1905938.5,1973339.6,2049451.8,2109004.3,2202351.3,2295757.8,2363193.8,2357785.8,2526799.2
 "92000","Mideast",2,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",28.2,28.4,28.1,28.1,25.7,26.4,26.1,125.4,463.8,514.4,569.8,617.5,755.4,920.6,1137.6,1193.8,1283.8,1738.2,1598.6,1300.3,1312.7,1599.6,1932.0,1897.7,1970.7,2213.5,2471.1,2696.3,3025.8,3048.8,3680.3,4355.0,4582.2,5118.1,5643.6,5693.3,5939.7,7890.9,8614.0,9400.3,11072.1,11657.9,12772.4,14535.2,18195.1,20160.1,20837.2,22890.3,24857.7,28208.0,32254.0,35163.7,40993.1,43999.0,47849.4,54382.8,59563.9,64797.9,69478.9,77653.3,81571.6,84116.1,86916.9,91293.2,94558.2,99383.7,102991.1,106056.0,110905.6,116433.0,122347.8,130693.2,136828.9,140474.3,144546.9,152321.1,159755.1,168346.9,177048.3,183281.7,179777.2,184384.5,170224.7,174527.2,203073.7,211455.8,220325.3,225027.8,236253.2,244909.7,253721.7,254231.6,272588.8
 "92000","Mideast",2,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",26.4,26.8,26.9,26.3,24.8,25.5,24.9,27.7,144.3,140.4,152.3,168.4,200.7,259.1,360.0,448.6,464.1,413.8,446.9,417.2,396.9,551.4,663.6,715.4,736.9,883.1,995.4,1072.5,1253.8,1255.6,1490.8,1790.9,1839.9,1950.9,2260.5,2361.1,2463.0,3506.6,4018.1,4457.1,5121.7,5416.7,5915.5,6571.7,8198.3,9138.9,9518.6,10150.2,10962.6,12313.6,14211.1,15697.6,18530.0,20053.9,21638.0,24061.3,27323.3,30098.5,32674.1,36859.4,39431.7,40720.6,42407.9,44303.3,45813.0,48242.4,50560.0,52356.9,55004.5,58094.8,61608.1,65611.0,68738.3,70772.9,72859.2,76836.4,80972.2,86006.2,90992.1,94299.5,92849.6,94807.0,77076.0,78483.4,104232.0,108716.5,113411.7,116797.1,123651.6,129690.5,134652.3,135677.1,144887.0
 "92000","Mideast",2,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",1.8,1.6,1.2,1.8,0.9,0.9,1.1,97.7,319.5,374.0,417.6,449.1,554.8,661.5,777.5,745.3,819.7,1324.4,1151.7,883.2,915.8,1048.2,1268.4,1182.3,1233.8,1330.3,1475.7,1623.9,1772.0,1793.3,2189.5,2564.1,2742.2,3167.3,3383.1,3332.2,3476.7,4384.3,4595.9,4943.2,5950.5,6241.2,6856.9,7963.5,9996.7,11021.2,11318.6,12740.1,13895.1,15894.4,18042.9,19466.1,22463.1,23945.1,26211.4,30321.6,32240.6,34699.4,36804.8,40793.9,42139.9,43395.5,44509.0,46989.9,48745.2,51141.4,52431.2,53699.1,55901.2,58338.2,60739.7,65082.2,68090.7,69701.4,71687.7,75484.7,78783.0,82340.7,86056.2,88982.2,86927.6,89577.5,93148.8,96043.8,98841.7,102739.3,106913.6,108230.6,112601.6,115219.2,119069.4,118554.4,127701.8
 "92000","Mideast",2,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-154.5,-194.8,-243.0,-295.6,-363.7,-418.7,-443.5,-508.4,-579.9,-656.6,-592.9,-633.8,-761.4,-791.4,-804.4,-841.2,-901.8,-932.5,-1011.3,-1183.0,-1301.3,-1781.9,-1703.0,-1779.4,-1950.2,-2081.8,-2296.3,-2641.1,-2963.9,-3354.3,-3971.1,-4759.8,-5614.8,-5943.1,-6123.0,-6181.6,-6584.4,-6966.6,-6872.2,-7220.9,-7991.4,-8372.4,-8634.7,-9023.3,-10686.7,-10451.3,-10166.6,-10953.3,-11404.4,-11756.2,-13004.4,-13273.7,-11981.6,-12804.8,-14569.6,-15728.7,-17733.9,-19405.9,-22334.9,-25134.3,-28268.5,-24954.8,-28623.0,-31442.6,-32977.3,-31492.8,-34212.4,-35192.7,-36188.5,-39381.7,-41269.3,-42804.1,-42225.7,-44961.4
