GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "38000","North Dakota",4,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",847673,734698,859363,894210,821319,835602,859579,949345,989878,1017416,1170366,1085596,1210253,1109242,1554904,1448231,1440731,1677209,1697119,1699091,1778337,1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507412,5269899,6899449,7453236,7831128,8458262,8740885,8869920,9133063,8466566,9482678,10256587,10388057,11391699,11547525,12547582,12570634,14065748,13771145,15077563,15272287,16623223,16961221,17369524,18958792,19410298,20653421,21662917,23964522,27009433,26739849,29880787,33666049,39796219,39933546,42819622,41178930,39765824,40215805,42821862,44420233,47089333
 "38000","North Dakota",4,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",60606,45033,44163,64271,62387,62028,52615,58731,70390,74405,85738,83421,91990,87834,110370,113669,109494,118144,130136,140670,149052,196470,191570,185355,228241,318128,424599,426814,421436,419623,544234,573631,638954,820461,742285,724199,753431,769518,741386,801971,819465,891376,952450,981880,1016561,1093709,1142381,1214023,1301589,1392771,1469391,1501455,1613633,1705693,1477715,1439207,1482956,1699793,1970256,2301111,2710436,2199581,2579391,3433566,4181752,4592725,4880477,4405865,3933539,3867060,3794408,4022525,3796367
 "38000","North Dakota",4,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",787067,689665,815200,829939,758932,773574,806964,890614,919488,943011,1084628,1002175,1118263,1021408,1444534,1334562,1331237,1559065,1566983,1558421,1629285,1794100,1910802,2238849,2659166,3718702,3573571,3754650,3680447,3841483,4813634,4933781,4630945,6078988,6710951,7106929,7704831,7971367,8128534,8331092,7647101,8591302,9304137,9406177,10375138,10453816,11405201,11356611,12764159,12378374,13608172,13770832,15009590,15255528,15891809,17519585,17927342,18953628,19692661,21663411,24298997,24540268,27301396,30232483,35614467,35340821,37939145,36773065,35832285,36348745,39027454,40397708,43292966
 "38000","North Dakota",4,SAINC50,20,"...","Population (persons) 1/","Number of persons",580000,597000,619000,604000,608000,609000,611000,615000,613000,612000,606000,618000,634000,641000,637000,644000,649000,649000,647000,626000,621000,621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,675054,687065,705071,727382,744395,762693,764650,766673,771407,776516,778962
 "38000","North Dakota",4,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1462,1231,1388,1480,1351,1372,1407,1544,1615,1662,1931,1757,1909,1730,2441,2249,2220,2584,2623,2714,2864,3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23285,23705,25892,26541,27218,29678,30107,31967,33357,36709,41075,40212,44264,49000,56443,54900,57523,53991,52005,52455,55511,57205,60451
 "38000","North Dakota",4,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1357,1155,1317,1374,1248,1270,1321,1448,1500,1541,1790,1622,1764,1593,2268,2072,2051,2402,2422,2489,2624,2889,3088,3573,4215,5880,5635,5881,5704,5918,7398,7565,7077,9218,10032,10503,11322,11775,12141,12601,11669,13292,14590,14795,16256,16303,17688,17530,19626,19052,21015,21375,23379,23872,24902,27425,27807,29336,30323,33184,36953,36904,40443,44002,50512,48586,50966,48215,46861,47411,50593,52024,55578
 "38000","North Dakota",4,SAINC50,60,"...","Personal current taxes","Thousands of dollars",60606,45033,44163,64271,62387,62028,52615,58731,70390,74405,85738,83421,91990,87834,110370,113669,109494,118144,130136,140670,149052,196470,191570,185355,228241,318128,424599,426814,421436,419623,544234,573631,638954,820461,742285,724199,753431,769518,741386,801971,819465,891376,952450,981880,1016561,1093709,1142381,1214023,1301589,1392771,1469391,1501455,1613633,1705693,1477715,1439207,1482956,1699793,1970256,2301111,2710436,2199581,2579391,3433566,4181752,4592725,4880477,4405865,3933539,3867060,3794408,4022525,3796367
 "38000","North Dakota",4,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",53675,37677,37159,56544,54327,54651,45467,50797,61583,64619,74667,70512,78345,72601,93883,97403,89271,95820,105798,117325,121340,169252,161710,153914,192439,268410,344945,336836,344761,344631,447043,497007,562455,737268,683564,651895,645281,664285,643241,672447,668318,750262,811831,832937,856572,926821,967234,1027793,1109234,1186573,1252907,1272492,1368906,1442298,1231093,1188870,1213583,1393795,1636349,1911982,2307302,1769533,2145204,2924157,3571365,3919291,4265401,3851865,3495438,3427887,3311737,3498142,3262471
 "38000","North Dakota",4,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",53675,37677,37159,56544,54327,54651,45467,50797,61583,64619,74667,70512,78345,72601,93883,97403,89271,95820,105798,117325,121340,169252,161710,153914,192439,268410,344945,336836,344761,344631,447043,497007,562455,737268,683564,651895,645281,664285,643241,672447,668318,750262,811831,832937,856572,926821,967234,1027793,1109234,1186573,1252907,1272492,1368906,1442298,1231093,1188870,1213583,1393795,1636349,1911982,2307302,1769533,2145204,2924157,3571365,3919291,4265401,3851865,3495438,3427887,3311737,3498142,3262471
 "38000","North Dakota",4,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",59347,44728,41427,60382,59043,59420,50526,55833,66968,70913,81652,78980,86218,81356,102318,108004,100437,104756,116264,130756,137161,184241,183977,178013,215866,306088,396177,420046,413224,410974,515575,570190,660464,840009,795570,764279,814046,819537,792944,805061,791410,849121,931702,954848,980920,1041843,1088404,1171214,1259433,1344962,1428894,1497064,1598438,1685541,1523513,1479953,1519958,1693799,1956961,2248350,2769961,2228609,2612336,3334657,4017616,4374751,4771691,4396353,4100336,4007937,3900043,4069626,3832287
