GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "97000","Rocky Mountain",7,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1385053,1489274,1590630,1681652,1824710,1910843,2049257,2187382,2325793,2465081,2571934,2997754,3472483,3883043,4287608,4926192,5712498,6448828,7024387,7918746,9167898,10471215,12580250,15295364,17443070,18994592,20975403,22511968,23103627,23438829,24629049,27416183,28607560,29458483,30506055,32598989,35813936,39970035,43423123,46715630,50370956,50392101,55449537,57050554,55736360,58844291,62513049,69643524,79368051,88377068,93671769,82217455,82249285,93851422,103834891,103344505,114222581,123570296,127154302,136038755,144750230,151058501,150067186
 "97000","Rocky Mountain",7,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",199401,223156,235643,253688,275172,292895,324444,369086,386772,402980,381678,412290,428360,455731,503155,590800,686540,725672,874016,1021191,1210668,1415841,1591512,1850087,1975620,2080185,2201281,2435447,2650767,2878133,3396491,4219481,4686843,5193123,5634601,6363242,7674801,8648425,10355298,11569984,12272544,12433885,13970503,13814628,14638771,15721211,20196598,21943606,28206915,32567117,31704157,21854647,21533649,27936583,34360258,32269464,38099650,42328852,44242253,47885784,51992513,55689259,55068594
 "97000","Rocky Mountain",7,SAINC40,92,"..."," Personal interest income","Thousands of dollars",763844,822313,890887,960726,1061107,1126685,1222841,1304736,1407894,1523724,1653871,1962022,2392029,2720681,3043875,3558427,4239565,4987718,5460821,6342382,7355182,8461126,10273479,12516041,14481515,15930741,17803315,19026157,19703889,19889713,20450657,22436743,23009784,23055203,23127156,23497105,24633055,27252277,28239349,30077397,32433093,31732331,34818608,35742825,33439245,34376509,32854369,38503729,43230774,47950204,49231073,46376490,43818090,45438198,48572371,47674341,50626067,55010217,56720732,60714748,63118232,65007871,63985341
 "97000","Rocky Mountain",7,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",390380,432664,476675,523880,575569,609107,671031,707329,750692,817003,881492,1051527,1324062,1533471,1734979,1976244,2310307,2883047,3104444,3527797,4087754,4355648,5049424,5696686,6759361,8409840,8887684,10112332,10817160,11368419,11691938,12205638,12638389,13375083,14125911,14943991,15628236,17166984,17743111,19324437,19798677,19497667,20983991,21251909,21568046,22648449,23321154,24933084,26973189,29156849,31135928,31287165,31217829,32252599,33188671,33527211,35481010,38034205,38564006,40295971,42388684,43427866,43509030
 "97000","Rocky Mountain",7,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",373464,389649,414212,436846,485538,517578,551810,597407,657202,706721,772379,910495,1067967,1187210,1308896,1582183,1929258,2104671,2356377,2814585,3267428,4105478,5224055,6819355,7722154,7520901,8915631,8913825,8886729,8521294,8758719,10231105,10371395,9680120,9001245,8553114,9004819,10085293,10496238,10752960,12634416,12234664,13834617,14490916,11871199,11728060,9533215,13570645,16257585,18793355,18095145,15089325,12600261,13185599,15383700,14147130,15145057,16976012,18156726,20418777,20729548,21580005,20476311
 "97000","Rocky Mountain",7,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",421808,443805,464100,467238,488431,491263,501972,513560,531127,538377,536385,623442,652094,706631,740578,776965,786393,735438,689550,555173,602048,594248,715259,929236,985935,983666,970807,1050364,748971,670983,781901,759959,910933,1210157,1744298,2738642,3506080,4069333,4828476,5068249,5665319,6225885,6660426,7493101,7658344,8746571,9462082,9196189,7930362,7859747,12736539,13986318,16897546,20476641,20902262,23400700,25496864,26231227,26191317,27438223,29639485,30361371,31013251
 "97000","Rocky Mountain",7,SAINC40,96,"...","  Imputed rent","Thousands of dollars",223890,247243,269034,282735,298812,307630,309390,315954,327290,339166,329371,416448,439405,471574,474789,454614,467612,441412,386827,246242,261537,220984,217405,221250,108505,86853,25237,-43683,-154443,-143604,10603,43974,140308,294518,639572,1344160,1953124,2260862,2828454,2979572,3573868,4073703,4310918,4788591,5064722,5825929,5897572,5323811,3968952,3842783,6885990,9389931,11663566,14110247,14652100,16173642,16911515,17799780,18928245,20203384,21102091,22019062,23471130
 "97000","Rocky Mountain",7,SAINC40,97,"...","  Monetary rent","Thousands of dollars",197918,196562,195066,184503,189619,183633,192582,197606,203837,199211,207014,206994,212689,235057,265789,322351,318781,294026,302723,308931,340511,373264,497854,707986,877430,896813,945570,1094047,903414,814587,771298,715985,770625,915639,1104726,1394482,1552956,1808471,2000022,2088677,2091451,2152182,2349508,2704510,2593622,2920642,3564510,3872378,3961410,4016964,5850549,4596387,5233980,6366394,6250162,7227058,8585349,8431447,7263072,7234839,8537394,8342309,7542121
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
