GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "09000","Connecticut",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1094510,1192131,1270235,1389044,1527773,1658301,1815065,1980103,2144906,2423532,2358270,2558513,2790180,2968398,3191261,3481264,3881861,4111806,4372685,4806888,5364019,6073160,7425087,9150870,10167417,10597471,12199081,12612340,13375242,14104992,15711898,18593467,18937724,18230440,18614317,19378671,20025864,21105200,22016106,23222268,24679706,24926977,27299173,27692354,25656315,26368594,28288959,31377133,37266843,42210860,43527732,37423784,37793596,40550540,44584023,43328174,48605506,50681399,52210092,52889288,57005578,58079172,56823946
 "09000","Connecticut",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",396046,438104,447536,480805,520761,559223,626228,679483,719450,828343,785236,780611,786899,814014,879347,903563,929821,883008,1024820,1147522,1281838,1437716,1601832,1835794,1999033,2055449,2290556,2271563,2368003,2420494,2598089,3157691,3075411,3190655,3329603,3529010,3854025,4103846,4665810,5310349,5440123,5334566,6061324,5769331,6207297,7005665,9643343,9612127,12282103,14303166,14958285,10049153,10070967,12006592,14242640,13230340,16843557,17040046,17242838,16541895,18047577,18109148,17762087
 "09000","Connecticut",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",453351,490279,540269,602054,673593,746801,828757,928244,1037327,1190571,1172837,1407578,1629568,1789326,1953886,2208939,2582245,2881465,3042895,3445655,3871314,4453034,5591595,7038958,7904160,8296555,9691627,10119897,10921481,11623149,12882452,15258051,15592870,14578959,14328081,14237658,14146979,14761895,14726880,15289991,16398144,16648407,18443122,18939636,16611307,16295546,15643156,19188310,23199407,26208305,25519936,23236261,22398090,22302579,23645672,23049498,24358341,26141985,27328611,28666048,31049884,32029555,30831042
 "09000","Connecticut",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",185273,205387,223338,245646,269166,289889,322499,347724,381451,425688,470469,564525,674072,754237,836741,922992,1067123,1319871,1352223,1488791,1663218,1736565,2090058,2425518,2898207,3609203,3886624,4457395,4973805,5486699,5939359,6560774,6946181,7121315,7320352,7552428,7701609,8174154,8117735,8610514,8631750,8882035,9556409,9567539,9308836,9416558,9700754,10506300,11658907,12954213,13938696,13596713,13480836,13756495,13842467,13653885,14417462,15562461,15087121,15397145,16265424,16711587,16282782
 "09000","Connecticut",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",268078,284892,316931,356408,404427,456912,506258,580520,655876,764883,702368,843053,955496,1035089,1117145,1285947,1515122,1561594,1690672,1956864,2208096,2716469,3501537,4613440,5005953,4687352,5805003,5662502,5947676,6136450,6943093,8697277,8646689,7457644,7007729,6685230,6445370,6587741,6609145,6679477,7766394,7766372,8886713,9372097,7302471,6878988,5942402,8682010,11540500,13254092,11581240,9639548,8917254,8546084,9803205,9395613,9940879,10579524,12241490,13268903,14784460,15317968,14548260
 "09000","Connecticut",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",245113,263748,282430,306185,333419,352277,360080,372376,388129,404618,400197,370324,373713,365058,358028,368762,369795,347333,304970,213711,210867,182410,231660,276118,264224,245467,216898,220880,85758,61349,231357,177725,269443,460826,956633,1612003,2024860,2239459,2623416,2621928,2841439,2944004,2794727,2983387,2837711,3067383,3002460,2576696,1785333,1699389,3049511,4138370,5324539,6241369,6695711,7048336,7403608,7499368,7638643,7681345,7908117,7940469,8230817
 "09000","Connecticut",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",193819,214568,234379,253430,275545,289196,295685,305891,320407,334436,328664,292538,273421,287635,276104,257456,258629,237912,199796,101507,92191,63504,64034,64387,2240,-21177,-83113,-174188,-343718,-386032,-235091,-271252,-219735,-88537,301259,870917,1219436,1334163,1600898,1615563,1838766,1974269,1900251,2017161,1943932,2201852,2220145,1651814,1077572,978071,2235289,3205106,4187086,4985801,5367156,5742808,6059260,6070202,6137075,6297641,6527476,6551426,6798558
 "09000","Connecticut",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",51294,49180,48051,52755,57874,63081,64395,66485,67722,70182,71533,77786,100292,77423,81924,111306,111166,109421,105174,112204,118676,118906,167626,211731,261984,266644,300011,395068,429476,447381,466448,448977,489178,549363,655374,741086,805424,905296,1022518,1006365,1002673,969735,894476,966226,893779,865531,782315,924882,707761,721318,814222,933264,1137453,1255568,1328555,1305528,1344348,1429166,1501568,1383704,1380641,1389043,1432259
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
