GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "39000","Ohio",3,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",1397058,1486768,1455967,1665206,2213247,2645656,2645521,2827459,2952430,3169496,3543259,4320962,3473040,3627785,3766868,3871578,3827094,3731260,3885514,4291590,4249653,4630751,4406999,4331061,4815524,4530238,5002017,5030040,5379951,5074230,4699033,4719667,4806930,4605394,4817332,5670680,5529998,5837582,7046882,8104432,7471847,8344117,9054456,10837352,11094306,10299284,8737571,8394308,8694157,9322015,8969612,9172674
 "39000","Ohio",3,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",855629,855982,841073,933812,1128227,1048673,1215535,1282990,1260062,1439455,1571938,1516929,1583867,1698045,1685797,1796971,1675264,1756825,1826442,1840380,1895186,2064649,1917069,1787008,1949595,1762009,1794903,2170072,2067182,2039283,1962046,1986363,2109387,1835411,2065058,2411016,2426373,2450608,2978010,3170121,2598305,3116206,3511014,3617633,3821350,4405414,3649342,3114158,3641366,3809327,3816547,3866589
 "39000","Ohio",3,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",508164,504822,490083,572305,687338,577901,720888,718561,715643,855466,919972,827706,825000,917617,875539,925258,866451,916925,1008811,1056261,1012235,1090646,1010129,877590,1031658,792133,774222,944589,933868,836951,771096,921987,961114,811375,933095,1118739,1240086,1300769,1270013,1294358,1206111,1455340,1603668,1713309,1682779,1856590,1468150,1349277,1656397,1659620,1910639,1918098
 "39000","Ohio",3,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",248096,255116,271483,302114,355153,258961,349048,356055,387407,502470,472084,461017,416681,403911,405323,430215,419256,422058,462213,535648,473149,456532,408215,392202,520336,369286,337314,382043,343440,369764,357351,424863,432547,395466,469378,471427,559507,622809,564343,552905,503290,554480,559493,699413,620824,722975,700426,580396,672451,675852,773840,726998
 "39000","Ohio",3,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",239849,231256,200623,250905,309424,297730,351533,340628,299941,320267,411160,324618,372350,477101,432190,460131,413630,461700,508133,476856,500067,598762,564939,442820,474298,386409,403561,524026,541317,421835,368255,450727,479504,364608,397027,582437,613943,614279,642782,660085,602624,795961,925843,882334,931560,1008774,648386,651675,821805,824098,977916,1027113
 "39000","Ohio",3,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",20219,18450,17977,19286,22761,21210,20307,21878,28295,32729,36728,42071,35969,36605,38026,34912,33565,33167,38465,43757,39019,35352,36975,42568,37024,36438,33347,38520,49111,45352,45490,46397,49063,51301,66690,64875,66636,63681,62888,81368,100197,104899,118332,131562,130395,124841,119338,117206,162141,159670,158883,163987
 "39000","Ohio",3,SAINC45,40,"...","  Dairy products","Thousands of dollars",249161,256052,267588,282527,309038,355813,372014,436826,428151,449004,507779,552577,598557,617537,641812,620531,618586,612590,611595,572874,606265,643848,592455,625110,596050,596239,598670,649500,583205,665152,647682,558936,649040,560700,584260,751980,744654,666540,985050,1005685,727842,932720,1111474,1034408,1149888,1329138,980956,936815,1028775,902707,1008073,1024142
 "39000","Ohio",3,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",98304,95108,83402,78980,131851,114959,122633,127603,116268,134985,144187,136646,160310,162891,168446,251182,190227,227310,206036,211245,276686,330155,314485,284308,321887,373637,422011,575983,550109,537180,543268,505440,499233,463336,547703,540297,441633,483299,722947,870078,664352,728146,795872,869916,988683,1219686,1200236,828066,956194,1247000,897835,924349
 "39000","Ohio",3,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",541429,630786,614894,731394,1085020,1596983,1429986,1544469,1692368,1730041,1971321,2804033,1889173,1929740,2081071,2074607,2151830,1974435,2059072,2451210,2354467,2566102,2489930,2544053,2865929,2768229,3207114,2859968,3312769,3034947,2736987,2733304,2697543,2769983,2752274,3259664,3103625,3386974,4068872,4934311,4873542,5227911,5543442,7219719,7272956,5893870,5088229,5280150,5052791,5512688,5153065,5306085
 "39000","Ohio",3,SAINC45,70,"...","  Total grains","Thousands of dollars",363275,449352,415519,532154,850184,1311627,1125835,1224767,1378309,1371805,1612789,2399406,1487715,1494480,1618548,1625326,1718694,1557397,1585685,1748160,1561710,1761215,1664650,1684423,1997636,1909952,2393821,1972729,2383654,2114309,1844921,1817648,1720361,1806197,1964754,2200696,2068897,2525530,3229666,4093913,4047073,4463752,4763842,6411188,6381260,5057114,4239857,4449932,4219923,4652065,4297604,4363721
 "39000","Ohio",3,SAINC45,71,"...","   Corn","Thousands of dollars",139961,168043,166949,183232,340919,475900,455507,462557,565187,441606,526800,1002297,584127,576204,632811,620268,802608,637428,636641,641516,669963,782601,750507,711217,945259,756327,996749,874602,909688,880690,801608,792752,769599,730053,761695,1042019,756381,1096720,1384712,1912665,1633791,1919116,2447383,3008454,2733449,2258670,1985981,1748395,1679464,2060505,1999091,1719832
 "39000","Ohio",3,SAINC45,72,"...","   Oats","Thousands of dollars",6010,8325,10152,9511,17020,20742,21413,19020,13888,12626,14775,15946,15749,16028,10043,12735,16095,7575,13773,12968,10644,11457,4850,7796,5759,4601,5219,4940,4138,4432,2508,5608,3685,5966,2827,2963,5033,2137,2633,4052,4664,3145,2372,2267,1219,2403,2912,1965,1476,1403,1506,1485
 "39000","Ohio",3,SAINC45,73,"...","   Sorghum","Thousands of dollars",256,303,295,361,466,681,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "39000","Ohio",3,SAINC45,74,"...","   Wheat","Thousands of dollars",28340,47901,48381,68617,81406,195382,216262,169963,136185,132071,240425,258122,241109,160876,145885,154333,148335,127160,111259,168109,233436,199670,162345,181032,145361,202268,296140,175861,217767,149421,165369,146236,161990,161991,192009,179076,166377,221184,229916,400354,280690,224465,256910,266087,334742,232546,138427,150689,203604,176022,117038,165906
 "39000","Ohio",3,SAINC45,75,"...","   Soybeans","Thousands of dollars",188370,224356,189391,269978,410014,618345,431494,572656,662617,785119,830407,1122565,640932,741085,829411,837613,751305,784947,823733,925122,647319,766348,745556,783489,900459,945824,1094892,916828,1251646,1079447,875157,872359,784308,907520,1007601,976250,1140913,1205226,1612025,1776156,2127641,2317026,2057177,3134380,3311850,2563495,2112537,2548883,2335379,2414135,2179969,2476498
 "39000","Ohio",3,SAINC45,76,"...","   Other grains","Thousands of dollars",338,424,351,455,359,577,521,571,432,383,382,476,5798,287,398,377,351,287,279,445,348,1139,1392,889,798,932,821,498,415,319,279,693,779,667,622,388,193,263,380,686,287,0,0,0,0,0,0,0,0,0,0,0
 "39000","Ohio",3,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",11403,13513,13733,15800,24438,22552,31407,38936,38691,47061,44610,42524,57507,55755,57286,55916,46865,46746,59077,87313,98143,97356,71218,90696,89283,86449,61231,79866,122743,103180,82118,102180,112991,112450,146910,98741,104882,92941,90753,117591,84166,79318,91469,115282,133863,131374,107136,119544,117660,106713,112652,132926
 "39000","Ohio",3,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",16226,14582,17365,13746,17062,23364,23937,24151,18252,25995,24842,30814,23110,28440,24998,23977,27954,25998,32150,31375,29380,29522,36833,36948,26085,29970,33582,35023,23018,25936,26540,33756,32375,30678,39124,43472,45169,51915,55412,51970,48960,42261,39762,21918,38369,26734,30861,27317,38610,34879,33981,39592
 "39000","Ohio",3,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",3953,4120,4032,5677,8222,8770,4900,3900,3900,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "39000","Ohio",3,SAINC45,113,"...","  Tobacco","Thousands of dollars",14426,14032,12234,13406,15565,20646,21164,22237,29442,23101,22487,28862,29030,42902,39467,37961,38731,25074,18170,20930,29125,30881,37053,42169,38913,32943,31740,34341,28948,35094,30313,28478,23345,14208,16877,15316,11331,11035,11252,11321,11279,9548,6793,6765,8667,8863,7543,6387,6481,5819,4658,3906
 "39000","Ohio",3,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "39000","Ohio",3,SAINC45,115,"...","  Other crops 1/","Thousands of dollars",132146,135187,152011,150611,169549,210024,222743,230478,223774,262079,266593,302427,291811,308163,340772,331427,319586,319220,363990,563432,636109,647128,680176,689817,714012,708915,686740,738009,754406,756428,753095,751242,808471,806450,584609,901439,873346,705553,681789,659516,682064,633032,641576,664566,710797,669785,702832,676970,670117,713212,704170,765940
