GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "15000","Hawaii *",8,SAINC7H,50,"...","Wages and salaries (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),509518,596285,650662,673604,666966,692105,729398,784145
 "15000","Hawaii *",8,SAINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),58169,62752,62969,60704,61452,58786,56994,55236
 "15000","Hawaii *",8,SAINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),451349,533533,587693,612900,605514,633319,672404,728909
 "15000","Hawaii *",8,SAINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),246589,273396,290891,305596,305111,323604,347028,383697
 "15000","Hawaii *",8,SAINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2289,2296,2291,2296,2211,2004,1828,1797
 "15000","Hawaii *",8,SAINC7H,200,"B","   Mining","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),600,600,600,600,600,600,600,600
 "15000","Hawaii *",8,SAINC7H,300,"C","   Construction","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24000,31800,32800,36100,32200,31500,36200,44700
 "15000","Hawaii *",8,SAINC7H,400,"D","   Manufacturing","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50000,54900,57600,59700,59700,61500,62400,66100
 "15000","Hawaii *",8,SAINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40900,42100,47300,47400,48400,51500,55900,62200
 "15000","Hawaii *",8,SAINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),69400,76200,79700,84600,85700,93800,98600,106500
 "15000","Hawaii *",8,SAINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12700,15000,14900,16200,17300,18300,20500,23900
 "15000","Hawaii *",8,SAINC7H,800,"I","   Services","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46700,50500,55700,58700,59000,64400,71000,77900
 "15000","Hawaii *",8,SAINC7H,900,"...","  Government and government enterprises","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),204760,260137,296802,307304,300403,309715,325376,345212
 "15000","Hawaii *",8,SAINC7H,910,"...","   Federal civilian","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79580,103815,113143,113000,104000,110000,114119,119115
 "15000","Hawaii *",8,SAINC7H,920,"...","   Military","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),72322,100894,126597,130750,130908,132126,138568,145373
 "15000","Hawaii *",8,SAINC7H,930,"...","   State and local","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52858,55428,57062,63554,65495,67589,72689,80724
"Note: See the included footnote file."
"SAINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
