GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "33000","New Hampshire",1,SAINC50,82,"...","   Less: Refunds","Thousands of dollars",5243,6323,4397,4626,5682,6630,8451,8523,8952,9619,11427,12100,12852,15186,15760,16911,18467,14371,17737,25291,30175,32230,40022,48496,46611,75921,79042,112581,80873,91201,114022,116761,157296,182055,192648,203405,225228,246594,272036,281501,356992,329910,403131,426390,397740,364043,372521,404810,414824,424245,449200,571063,597756,680097,850062,867510,898674,844470,898572,936512,1278749,1207184,1072743,968302,1005771,995343,956058,963135,1049970,1117228,1148946,1060564,1057468
 "33000","New Hampshire",1,SAINC50,120,"..."," State governments","Thousands of dollars",3045,3300,4221,5603,5957,6273,6321,6659,7320,7636,7632,8314,8535,8890,9021,9194,9407,10276,12357,12368,14088,14611,17771,21066,22710,25114,24518,22710,23737,26636,29725,29617,31558,38560,44983,48201,61711,65833,66267,73185,80683,87381,96546,89139,86524,83252,84138,89731,86509,152937,116432,117023,120406,141123,137717,125096,133234,141610,152912,189773,204020,182777,179068,162726,168947,177360,182285,186431,162495,161674,186636,206585,215834
 "33000","New Hampshire",1,SAINC50,130,"...","  Income taxes","Thousands of dollars",854,1051,1786,1884,1248,1261,1345,1437,1495,1556,1515,1546,1600,1634,1667,1798,1906,2125,2433,2502,2617,2903,3798,6401,6908,7884,8395,6787,6180,7398,8999,9160,10792,12898,14982,16776,26110,28035,25800,28259,33972,36592,43303,35662,35738,35968,36097,40453,39440,101926,63983,63562,64671,79190,66970,51754,56774,69214,80243,110479,122033,89734,80414,77700,87032,96505,93019,92717,76167,84133,110105,129222,138706
 "33000","New Hampshire",1,SAINC50,150,"...","  Motor vehicle licenses","Thousands of dollars",1762,1793,1877,2208,2310,2590,2706,2970,3564,3857,3959,4467,4529,4849,4936,4978,4955,5420,6767,6973,8400,8977,10079,10242,12131,13484,13528,13296,14878,16380,17348,17057,17093,21504,24783,26859,30713,32940,34816,37835,40612,43959,45974,45668,44398,40509,40225,42488,40758,43889,45471,46981,49644,54881,62608,65309,67635,63864,64191,70183,72660,83828,89503,76302,72268,71135,79781,83343,75360,65204,61148,62474,62578
 "33000","New Hampshire",1,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",429,456,558,1511,2399,2422,2270,2252,2261,2223,2158,2301,2406,2407,2418,2418,2546,2731,3157,2893,3071,2731,3894,4423,3671,3746,2595,2627,2679,2858,3378,3400,3673,4158,5218,4566,4888,4858,5651,7091,6099,6830,7269,7809,6388,6775,7816,6790,6311,7122,6978,6480,6091,7052,8139,8033,8825,8532,8478,9111,9327,9215,9151,8724,9647,9720,9485,10371,10968,12337,15383,14889,14550
 "33000","New Hampshire",1,SAINC50,180,"..."," Local governments","Thousands of dollars",149,161,168,148,134,115,89,122,100,100,61,108,90,71,74,115,123,117,142,132,152,185,196,369,552,401,1171,1114,1249,1209,1359,1237,1473,1636,1630,1810,1774,1562,2002,730,1019,1157,1073,1128,1416,1258,1809,2057,2084,2251,3207,3207,3467,3890,4265,4891,7121,8996,8365,8467,7908,6364,8031,8596,5627,8096,8280,6825,7099,10045,16515,17518,18242
 "33000","New Hampshire",1,SAINC50,190,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAINC50,200,"...","  Motor vehicle licenses","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,11,26,17,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAINC50,210,"...","  Other taxes","Thousands of dollars",149,161,168,148,134,115,89,122,100,100,61,108,90,71,74,115,123,117,142,132,152,185,196,358,526,384,1147,1097,1249,1209,1359,1237,1473,1636,1630,1810,1774,1562,2002,730,1019,1157,1073,1128,1416,1258,1809,2044,2084,2251,3207,3207,3467,3890,4265,4891,7121,8996,8365,8467,7908,6364,8031,8596,5627,8096,8280,6825,7099,10045,16515,17518,18242
 "33000","New Hampshire",1,SAINC50,230,"..."," State and local personal property taxes","Thousands of dollars",333,371,399,431,468,505,538,555,532,494,527,872,974,1073,1970,1983,1928,1934,1863,1877,1902,9717,10252,10477,10439,10756,10806,10496,10049,10066,9937,11530,12559,13962,14402,15520,16540,15307,8343,13354,14550,20531,19131,18205,18194,13667,17792,24319,29903,33259,32462,31581,31464,41410,55057,63812,69524,73720,66836,107938,168337,158582,87058,70630,78965,70787,84574,96642,100587,104685,109624,116060,119185
"Note: See the included footnote file."
"SAINC50: Personal Current Taxes "
"Last updated: March 23, 2022— revised statistics for 2010-2020."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
