GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "95000","Southeast",5,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",38013686,38801665,39694005,39630074,39666968,40061948,41037086,42109692,43150569,44064521,43724980,42223496,42065743,42886195,43433405,44149358,45199079,46292536,47200805,48154484,49285469,49825210,47593479
 "95000","Southeast",5,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",31999261,32740134,33350561,33170448,33026751,33127971,33715192,34335778,34976777,35337430,34963150,33268401,33043784,33354328,33850812,34307125,34999737,35801899,36481578,37004386,37600519,38201092,36439602
 "95000","Southeast",5,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",6014425,6061531,6343444,6459626,6640217,6933977,7321894,7773914,8173792,8727091,8761830,8955095,9021959,9531867,9582593,9842233,10199342,10490637,10719227,11150098,11684950,11624118,11153877
 "95000","Southeast",5,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",620900,617329,611009,597417,539249,521002,502493,495111,481869,501826,493842,487754,482228,476501,463920,464965,463633,463481,461823,456148,452544,449962,448887
 "95000","Southeast",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",5393525,5444202,5732435,5862209,6100968,6412975,6819401,7278803,7691923,8225265,8267988,8467341,8539731,9055366,9118673,9377268,9735709,10027156,10257404,10693950,11232406,11174156,10704990
 "95000","Southeast",5,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",810758,805961,801357,784346,727044,715456,687161,660338,651747,663588,654663,645499,640664,638043,623613,623635,634506,637048,631071,634318,616479,617061,618520
 "95000","Southeast",5,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",37202928,37995704,38892648,38845728,38939924,39346492,40349925,41449354,42498822,43400933,43070317,41577997,41425079,42248152,42809792,43525723,44564573,45655488,46569734,47520166,48668990,49208149,46974959
 "95000","Southeast",5,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",31468942,32199554,32977454,32896004,32891753,33238041,34185265,35242948,36243083,37053384,36609981,35113263,34941618,35841727,36447577,37200362,38279071,39367976,40239997,41162913,42324975,42817574,40692024
 "95000","Southeast",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",265853,253750,239055,(D),232766,214127,221953,221910,221140,221812,221891,216001,218368,217271,222944,228888,235277,228738,230430,227936,233705,230915,225315
 "95000","Southeast",5,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",75151,73625,67818,65109,63591,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),59300,(D),(D),56024,56550,54909,53269
 "95000","Southeast",5,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",40502,37983,37390,33098,(D),28864,31919,30579,(D),(D),29159,28781,31989,28743,28471,30119,30499,(D),(D),27188,28469,30762,32019
 "95000","Southeast",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",150200,142142,133847,(D),(D),(D),(D),(D),128725,132057,(D),(D),(D),(D),(D),(D),145478,139003,139796,144724,148686,145244,140027
 "95000","Southeast",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",197449,179094,170560,185212,173201,177718,171888,180196,197532,208750,244187,232621,255587,244450,285311,282512,270896,261239,242779,215322,186864,173657,153636
 "95000","Southeast",5,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",55618,53302,47667,53326,48059,54951,48864,(D),58590,59395,86176,87796,108525,89921,118875,(D),(D),129814,132655,98313,75355,65740,(D)
 "95000","Southeast",5,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",90693,85473,80415,82293,77726,74134,74937,(D),79853,82449,84122,78873,79421,83916,91205,79150,74220,70103,61922,67388,62883,60869,53580
 "95000","Southeast",5,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",51138,40319,42478,49593,47416,48633,48087,51302,59089,66906,73889,65952,67641,70613,75231,(D),(D),61322,48202,49621,48626,47048,(D)
 "95000","Southeast",5,SAEMP25N,300,"22","   Utilities","Number of jobs",149233,149874,148322,(D),143088,140687,138998,138286,140365,141463,145242,142119,138899,136901,137542,138279,139223,143050,148744,141625,142129,140970,141191
 "95000","Southeast",5,SAEMP25N,400,"23","   Construction","Number of jobs",2406973,2473379,2534518,2593502,2551828,2634756,2770976,2995801,3171332,3136374,2894324,2500076,2311649,2281025,2301653,2351146,2431419,2493787,2640498,2730342,2878500,2934567,2860876
 "95000","Southeast",5,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",528813,555882,570155,582917,578737,563005,595824,657180,699814,676173,620633,523241,479269,451763,474667,486307,501070,546057,561966,579210,617189,625213,605263
 "95000","Southeast",5,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",308764,323310,332672,337794,337519,332164,337387,352472,372484,376343,353501,315828,297766,292214,297025,293658,303395,308202,326205,347095,363780,358830,347408
