GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "11000","District of Columbia",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",464711,484029,516357,531178,556772,579673,603338,641310,655161,671290,684697,689858,790025,908572,991488,1048993,1142330,1197024,1276809,1395674,1587726,1754927,1991161,2256159,2385536,2468258,2704758,2882121,2999942,3071600,3340309,3889772,3818611,3771193,3879380,3948702,4047746,4100357,4095717,4478786,4706728,4848541,5126705,4984167,4735131,4791409,5124872,5493678,6377930,6978338,7439356,6352588,6245318,6973673,7784131,7768952,8477135,8958692,9203149,9649633,10234090,10155416,9941702
 "11000","District of Columbia",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",85611,92095,102619,103366,110445,117782,133501,148861,147066,138285,167149,167876,172705,182146,200300,198767,197403,171811,200839,225528,250248,278517,301503,337568,376520,359706,395193,384959,403336,379307,439643,522660,531124,554837,571543,570487,627383,619887,693849,795709,770735,724540,831855,793525,897610,910179,1299757,1239018,1631602,1821092,1793900,995849,856661,1299451,1722903,1583072,2003251,2105561,2348211,2498304,2792425,2750205,2672739
 "11000","District of Columbia",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",313420,324402,346448,360397,378966,393091,406407,432844,451265,478203,467182,479999,577038,683151,748651,809343,900918,981616,1034713,1136106,1304425,1442447,1651111,1870431,1963613,2057516,2260512,2442441,2566039,2669700,2862376,3338402,3250625,3157053,3176017,3192587,3191540,3193647,3096270,3355226,3586548,3730277,3915921,3764566,3411752,3426751,3313839,3892916,4467223,4868636,5091512,4644211,4424064,4583372,4876564,4910993,5149517,5498438,5458450,5682531,5906379,5846131,5627331
 "11000","District of Columbia",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",204467,215132,227208,240182,254717,266007,283313,302701,311908,330508,340730,318374,394227,483409,531377,565610,618289,703704,743924,814446,947617,1012101,1109683,1172072,1241277,1414251,1474991,1613002,1738762,1856063,1919715,2033303,2085127,2147761,2199701,2268544,2307456,2365073,2335221,2478022,2541742,2749507,2795800,2634712,2574645,2598142,2630766,2785910,3047025,3282553,3518575,3433637,3468685,3548350,3639572,3779843,3979793,4220199,4054226,4097590,4160796,4009479,3888269
 "11000","District of Columbia",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",108953,109270,119240,120215,124249,127084,123094,130143,139357,147695,126452,161625,182811,199742,217274,243733,282629,277912,290789,321660,356808,430346,541428,698359,722336,643265,785521,829439,827277,813637,942661,1305099,1165498,1009292,976316,924043,884084,828574,761049,877204,1044806,980770,1120121,1129854,837107,828609,683073,1107006,1420198,1586083,1572937,1210574,955379,1035022,1236992,1131150,1169724,1278239,1404224,1584941,1745583,1836652,1739062
 "11000","District of Columbia",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",65680,67532,67290,67415,67361,68800,63430,59605,56830,54802,50366,41983,40282,43275,42537,40883,44009,43597,41257,34040,33053,33963,38547,48160,45403,51036,49053,54721,30567,22593,38290,28710,36862,59303,131820,185628,228823,286823,305598,327851,349445,393724,378929,426076,425769,454479,511276,361744,279105,288610,553944,712528,964593,1090850,1184664,1274887,1324367,1354693,1396488,1468798,1535286,1559080,1641632
 "11000","District of Columbia",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",38830,41031,43005,43836,45291,45374,44493,44313,44824,45385,43317,35183,34236,35968,34346,32025,32241,29672,24841,12220,10858,7208,7380,6960,-489,-3203,-9732,-19165,-36334,-39952,-24368,-27810,-22805,-10592,27967,87889,126860,141843,173102,176814,205259,224675,219415,243441,249794,269431,282874,203036,142736,129405,315474,474313,710703,798528,858338,959585,1007955,995437,1014770,1108093,1169576,1193853,1276660
 "11000","District of Columbia",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",26850,26501,24285,23579,22070,23426,18937,15292,12006,9417,7049,6800,6046,7307,8191,8858,11768,13925,16416,21820,22195,26755,31167,41200,45892,54239,58785,73886,66901,62545,62658,56520,59667,69895,103853,97739,101963,144980,132496,151037,144186,169049,159514,182635,175975,185048,228402,158708,136369,159205,238470,238215,253890,292322,326326,315302,316412,359256,381718,360705,365710,365227,364972
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
